date,symbol,name,previous_shares,current_shares,change_shares,previous_weight_percent,current_weight_percent,status
2026-07-15,2059.TW,川湖,293000,293000,0,5.81,6.0,unchanged
2026-07-15,2303.TW,聯電,7000000,7000000,0,2.62,2.8,unchanged
2026-07-15,2327.TW,國巨*,2066000,2066000,0,3.98,3.97,unchanged
2026-07-15,2330.TW,台積電,1406000,1406000,0,8.43,8.27,unchanged
2026-07-15,2337.TW,旺宏,1343000,1343000,0,0.46,0.48,unchanged
2026-07-15,2345.TW,智邦,977000,977000,0,5.52,5.51,unchanged
2026-07-15,2383.TW,台光電,563000,563000,0,6.94,6.89,unchanged
2026-07-15,2454.TW,聯發科,406000,406000,0,3.68,3.66,unchanged
2026-07-15,2455.TW,全新,2753000,2753000,0,2.15,2.09,unchanged
2026-07-15,3008.TW,大立光,420000,420000,0,4.44,4.09,unchanged
2026-07-15,3017.TW,奇鋐,1002000,1002000,0,5.27,5.23,unchanged
2026-07-15,3026.TW,禾伸堂,459000,909000,450000,0.93,1.84,increased
2026-07-15,3037.TW,欣興,2097000,2097000,0,4.54,4.73,unchanged
2026-07-15,3189.TW,景碩,440013,440013,0,0.88,0.9,unchanged
2026-07-15,3260.TW,威剛,358000,358000,0,0.36,0.35,unchanged
2026-07-15,3264.TW,欣銓,72000,72000,0,0.04,0.04,unchanged
2026-07-15,3363.TW,上詮,300000,300000,0,0.43,0.43,unchanged
2026-07-15,3443.TW,創意,211000,211000,0,2.1,2.09,unchanged
2026-07-15,3491.TW,昇達科,1000,1000,0,0.0,0.0,unchanged
2026-07-15,3583.TW,辛耘,566000,566000,0,1.07,1.15,unchanged
2026-07-15,3661.TW,世芯-KY,215000,215000,0,1.99,1.94,unchanged
2026-07-15,3665.TW,貿聯-KY,955000,955000,0,4.2,4.4,unchanged
2026-07-15,3711.TW,日月光投控,1629000,1629000,0,2.59,2.68,unchanged
2026-07-15,5289.TW,宜鼎,98000,98000,0,0.35,0.35,unchanged
2026-07-15,6139.TW,亞翔,250000,250000,0,0.52,0.54,unchanged
2026-07-15,6182.TW,合晶,4500000,4500000,0,2.08,1.95,unchanged
2026-07-15,6187.TW,萬潤,1220000,1220000,0,2.98,3.18,unchanged
2026-07-15,6223.TW,旺矽,326000,326000,0,5.12,4.97,unchanged
2026-07-15,6488.TW,環球晶,394000,394000,0,1.48,1.41,unchanged
2026-07-15,6515.TW,穎崴,99000,99000,0,1.73,1.73,unchanged
2026-07-15,6584.TW,南俊國際,2231000,2231000,0,3.71,3.58,unchanged
2026-07-15,6805.TW,富世達,109000,109000,0,0.36,0.37,unchanged
2026-07-15,7734.TW,印能科技,56000,56000,0,0.38,0.41,unchanged
2026-07-15,7751.TW,竑騰,368000,318000,-50000,1.04,0.93,decreased
2026-07-15,8021.TW,尖點,1501000,1501000,0,1.81,1.92,unchanged
2026-07-15,8299.TW,群聯,445000,445000,0,2.26,2.26,unchanged
2026-07-15,8996.TW,高力,1630000,1630000,0,4.75,4.65,unchanged
