date,symbol,name,previous_shares,current_shares,change_shares,previous_weight_percent,current_weight_percent,status
2026-08-19,1303.TW,南亞,5445000,5445000,0,2.49,2.41,unchanged
2026-08-19,1815.TW,富喬,10877000,10877000,0,2.37,2.51,unchanged
2026-08-19,2059.TW,川湖,260000,260000,0,8.55,8.64,unchanged
2026-08-19,2301.TW,光寶科,659000,659000,0,0.41,0.42,unchanged
2026-08-19,2308.TW,台達電,632000,632000,0,2.63,2.63,unchanged
2026-08-19,2330.TW,台積電,1306000,1306000,0,7.11,7.24,unchanged
2026-08-19,2345.TW,智邦,1074000,1074000,0,5.47,5.38,unchanged
2026-08-19,2357.TW,華碩,196000,196000,0,0.41,0.43,unchanged
2026-08-19,2360.TW,致茂,76000,76000,0,0.4,0.38,unchanged
2026-08-19,2376.TW,技嘉,508000,508000,0,0.4,0.42,unchanged
2026-08-19,2383.TW,台光電,465000,465000,0,6.6,6.45,unchanged
2026-08-19,2404.TW,漢唐,155000,155000,0,0.4,0.4,unchanged
2026-08-19,2454.TW,聯發科,406000,266000,-140000,3.61,2.41,decreased
2026-08-19,2455.TW,全新,2753000,2753000,0,2.63,2.57,unchanged
2026-08-19,3008.TW,大立光,420000,420000,0,5.09,5.5,unchanged
2026-08-19,3017.TW,奇鋐,1001000,1001000,0,6.95,7.31,unchanged
2026-08-19,3026.TW,禾伸堂,261000,261000,0,0.4,0.42,unchanged
2026-08-19,3037.TW,欣興,2483000,2483000,0,6.51,6.62,unchanged
2026-08-19,3081.TW,聯亞,63000,63000,0,0.42,0.4,unchanged
2026-08-19,3189.TW,景碩,844013,844013,0,1.67,1.69,unchanged
2026-08-19,3231.TW,緯創,7245000,7245000,0,3.0,3.11,unchanged
2026-08-19,3264.TW,欣銓,72000,0,-72000,0.03,,removed
2026-08-19,3443.TW,創意,164000,164000,0,2.08,2.05,unchanged
2026-08-19,3583.TW,辛耘,147000,0,-147000,0.24,,removed
2026-08-19,3653.TW,健策,33000,33000,0,0.39,0.42,unchanged
2026-08-19,3661.TW,世芯-KY,215000,215000,0,1.83,1.84,unchanged
2026-08-19,3665.TW,貿聯-KY,1161000,1161000,0,5.95,6.02,unchanged
2026-08-19,3711.TW,日月光投控,716000,716000,0,0.98,0.99,unchanged
2026-08-19,4958.TW,臻鼎-KY,1000000,1000000,0,1.08,1.08,unchanged
2026-08-19,5274.TW,信驊,11000,11000,0,0.43,0.41,unchanged
2026-08-19,5289.TW,宜鼎,98000,98000,0,0.33,0.35,unchanged
2026-08-19,5347.TW,世界,629000,629000,0,0.22,0.22,unchanged
2026-08-19,6139.TW,亞翔,250000,250000,0,0.45,0.45,unchanged
2026-08-19,6187.TW,萬潤,134000,134000,0,0.39,0.41,unchanged
2026-08-19,6213.TW,聯茂,373000,373000,0,0.42,0.43,unchanged
2026-08-19,6223.TW,旺矽,268000,268000,0,3.23,3.32,unchanged
2026-08-19,6274.TW,台燿,113000,113000,0,0.4,0.4,unchanged
2026-08-19,6515.TW,穎崴,42000,0,-42000,0.61,,removed
2026-08-19,6584.TW,南俊國際,2231000,2231000,0,3.07,3.16,unchanged
2026-08-19,6669.TW,緯穎,77000,77000,0,1.13,1.16,unchanged
2026-08-19,7751.TW,竑騰,25000,0,-25000,0.09,,removed
2026-08-19,8021.TW,尖點,2682000,2682000,0,2.51,2.49,unchanged
2026-08-19,8046.TW,南電,300000,300000,0,0.85,0.83,unchanged
2026-08-19,8150.TW,南茂,1957000,1957000,0,0.4,0.4,unchanged
2026-08-19,8996.TW,高力,1630000,1630000,0,4.38,4.36,unchanged
