date,symbol,name,previous_shares,current_shares,change_shares,previous_weight_percent,current_weight_percent,status
2026-09-21,1303.TW,南亞,5445000,5445000,0,3.13,3.12,unchanged
2026-09-21,1815.TW,富喬,11420868,11420868,0,3.3,3.3,unchanged
2026-09-21,2059.TW,川湖,205000,205000,0,6.19,6.27,unchanged
2026-09-21,2301.TW,光寶科,659000,659000,0,0.45,0.45,unchanged
2026-09-21,2330.TW,台積電,1116000,1116000,0,6.63,6.62,unchanged
2026-09-21,2345.TW,智邦,1104000,1104000,0,4.95,4.86,unchanged
2026-09-21,2357.TW,華碩,196000,196000,0,0.45,0.44,unchanged
2026-09-21,2360.TW,致茂,76000,76000,0,0.42,0.43,unchanged
2026-09-21,2376.TW,技嘉,508000,508000,0,0.44,0.45,unchanged
2026-09-21,2383.TW,台光電,465000,465000,0,5.49,5.44,unchanged
2026-09-21,2404.TW,漢唐,155000,155000,0,0.42,0.42,unchanged
2026-09-21,2454.TW,聯發科,145000,179000,34000,1.65,2.14,increased
2026-09-21,2455.TW,全新,1700000,1700000,0,2.28,2.33,unchanged
2026-09-21,3008.TW,大立光,293000,293000,0,4.55,4.48,unchanged
2026-09-21,3017.TW,奇鋐,1001000,1001000,0,8.3,8.17,unchanged
2026-09-21,3026.TW,禾伸堂,261000,261000,0,0.5,0.49,unchanged
2026-09-21,3037.TW,欣興,2482000,2482000,0,5.88,6.05,unchanged
2026-09-21,3081.TW,聯亞,63000,63000,0,0.44,0.43,unchanged
2026-09-21,3189.TW,景碩,844013,844013,0,1.7,1.67,unchanged
2026-09-21,3231.TW,緯創,7245000,7245000,0,3.26,3.23,unchanged
2026-09-21,3443.TW,創意,164000,164000,0,2.83,2.99,unchanged
2026-09-21,3653.TW,健策,33000,33000,0,0.44,0.46,unchanged
2026-09-21,3665.TW,貿聯-KY,1161000,1161000,0,6.2,6.38,unchanged
2026-09-21,3711.TW,日月光投控,250000,250000,0,0.39,0.4,unchanged
2026-09-21,4958.TW,臻鼎-KY,1000000,1000000,0,1.14,1.12,unchanged
2026-09-21,5274.TW,信驊,11000,11000,0,0.51,0.52,unchanged
2026-09-21,5289.TW,宜鼎,99952,99952,0,0.32,0.31,unchanged
2026-09-21,5347.TW,世界,629000,629000,0,0.26,0.26,unchanged
2026-09-21,6139.TW,亞翔,250000,250000,0,0.44,0.43,unchanged
2026-09-21,6187.TW,萬潤,134000,134000,0,0.4,0.4,unchanged
2026-09-21,6213.TW,聯茂,373000,373000,0,0.46,0.48,unchanged
2026-09-21,6223.TW,旺矽,268000,268000,0,3.76,3.52,unchanged
2026-09-21,6274.TW,台燿,113000,113000,0,0.37,0.39,unchanged
2026-09-21,6515.TW,穎崴,51000,51000,0,0.79,0.71,unchanged
2026-09-21,6584.TW,南俊國際,2231000,2231000,0,3.1,2.99,unchanged
2026-09-21,6669.TW,緯穎,429675,429675,0,2.22,2.21,unchanged
2026-09-21,8021.TW,尖點,2682000,2682000,0,2.98,2.99,unchanged
2026-09-21,8046.TW,南電,968000,968000,0,2.57,2.45,unchanged
2026-09-21,8150.TW,南茂,1957000,1957000,0,0.44,0.48,unchanged
2026-09-21,8996.TW,高力,1630000,1630000,0,5.63,5.87,unchanged
