date,symbol,name,previous_shares,current_shares,change_shares,previous_weight_percent,current_weight_percent,status
2026-08-27,1303.TW,南亞,5445000,5445000,0,2.59,2.83,unchanged
2026-08-27,1815.TW,富喬,10877000,10877000,0,2.94,2.9,unchanged
2026-08-27,2059.TW,川湖,260000,260000,0,8.66,8.52,unchanged
2026-08-27,2301.TW,光寶科,659000,659000,0,0.46,0.45,unchanged
2026-08-27,2308.TW,台達電,632000,632000,0,2.54,2.56,unchanged
2026-08-27,2330.TW,台積電,1306000,1306000,0,7.24,7.2,unchanged
2026-08-27,2345.TW,智邦,1074000,1074000,0,5.06,5.13,unchanged
2026-08-27,2357.TW,華碩,196000,196000,0,0.44,0.43,unchanged
2026-08-27,2360.TW,致茂,76000,76000,0,0.35,0.35,unchanged
2026-08-27,2376.TW,技嘉,508000,508000,0,0.41,0.4,unchanged
2026-08-27,2383.TW,台光電,465000,465000,0,6.29,5.85,unchanged
2026-08-27,2404.TW,漢唐,155000,155000,0,0.38,0.38,unchanged
2026-08-27,2454.TW,聯發科,266000,266000,0,2.41,2.35,unchanged
2026-08-27,2455.TW,全新,2753000,2753000,0,2.7,2.73,unchanged
2026-08-27,3008.TW,大立光,343000,343000,0,4.95,5.42,unchanged
2026-08-27,3017.TW,奇鋐,1001000,1001000,0,7.25,7.64,unchanged
2026-08-27,3026.TW,禾伸堂,261000,261000,0,0.37,0.4,unchanged
2026-08-27,3037.TW,欣興,2482000,2482000,0,6.61,6.7,unchanged
2026-08-27,3081.TW,聯亞,63000,63000,0,0.47,0.49,unchanged
2026-08-27,3189.TW,景碩,844013,844013,0,1.71,1.76,unchanged
2026-08-27,3231.TW,緯創,7245000,7245000,0,3.03,2.97,unchanged
2026-08-27,3443.TW,創意,164000,164000,0,2.3,2.22,unchanged
2026-08-27,3653.TW,健策,33000,33000,0,0.43,0.43,unchanged
2026-08-27,3661.TW,世芯-KY,215000,215000,0,1.95,1.9,unchanged
2026-08-27,3665.TW,貿聯-KY,1161000,1161000,0,5.34,5.45,unchanged
2026-08-27,3711.TW,日月光投控,716000,716000,0,0.97,0.99,unchanged
2026-08-27,4958.TW,臻鼎-KY,1000000,1000000,0,1.04,1.09,unchanged
2026-08-27,5274.TW,信驊,11000,11000,0,0.4,0.38,unchanged
2026-08-27,5289.TW,宜鼎,98000,99952,1952,0.34,0.34,increased
2026-08-27,5347.TW,世界,629000,629000,0,0.22,0.22,unchanged
2026-08-27,6139.TW,亞翔,250000,250000,0,0.46,0.45,unchanged
2026-08-27,6187.TW,萬潤,134000,134000,0,0.4,0.44,unchanged
2026-08-27,6213.TW,聯茂,373000,373000,0,0.5,0.48,unchanged
2026-08-27,6223.TW,旺矽,268000,268000,0,3.1,3.12,unchanged
2026-08-27,6274.TW,台燿,113000,113000,0,0.4,0.37,unchanged
2026-08-27,6584.TW,南俊國際,2231000,2231000,0,3.09,3.16,unchanged
2026-08-27,6669.TW,緯穎,77000,77000,0,1.2,1.2,unchanged
2026-08-27,8021.TW,尖點,2682000,2682000,0,2.58,2.59,unchanged
2026-08-27,8046.TW,南電,300000,300000,0,0.81,0.89,unchanged
2026-08-27,8150.TW,南茂,1957000,1957000,0,0.41,0.4,unchanged
2026-08-27,8996.TW,高力,1630000,1630000,0,4.47,4.88,unchanged
