date,symbol,name,weight_percent,shares
2026-07-22,2330.TW,台積電,17.34,12200000
2026-07-22,2303.TW,聯電,6.25,76000000
2026-07-22,3017.TW,奇鋐,4.63,3450000
2026-07-22,2344.TW,華邦電,4.05,40000000
2026-07-22,3037.TW,欣興,4.04,7530000
2026-07-22,2383.TW,台光電,4.04,1330000
2026-07-22,2454.TW,聯發科,3.94,1730000
2026-07-22,6223.TW,旺矽,3.55,1000000
2026-07-22,2308.TW,台達電,3.25,2920000
2026-07-22,2345.TW,智邦,3.06,2260000
2026-07-22,6669.TW,緯穎,2.57,790000
2026-07-22,2327.TW,國巨*,2.5,6000000
2026-07-22,3711.TW,日月光投控,2.49,6400000
2026-07-22,4958.TW,臻鼎-KY,2.3,6934000
2026-07-22,3653.TW,健策,1.81,874000
2026-07-22,6488.TW,環球晶,1.73,2350000
2026-07-22,3189.TW,景碩,1.52,3217000
2026-07-22,3533.TW,嘉澤,1.48,1240000
2026-07-22,6274.TW,台燿,1.35,1680000
2026-07-22,8046.TW,南電,1.35,1750000
2026-07-22,3443.TW,創意,1.32,510000
2026-07-22,1303.TW,南亞,1.32,10700000
2026-07-22,2368.TW,金像電,1.15,2060000
2026-07-22,7769.TW,鴻勁,1.14,300000
2026-07-22,8996.TW,高力,1.02,1600000
2026-07-22,5274.TW,信驊,1.01,109500
2026-07-22,2360.TW,致茂,0.96,760000
2026-07-22,2337.TW,旺宏,0.8,10000000
2026-07-22,3665.TW,貿聯-KY,0.61,490000
2026-07-22,6515.TW,穎崴,0.57,149000
2026-07-22,6805.TW,富世達,0.51,620000
2026-07-22,2317.TW,鴻海,0.48,3200000
2026-07-22,3211.TW,順達,0.47,2000000
2026-07-22,8358.TW,金居,0.43,1750000
2026-07-22,3583.TW,辛耘,0.41,900000
2026-07-22,6239.TW,力成,0.33,1900000
2026-07-22,1560.TW,中砂,0.31,750000
2026-07-22,4966.TW,譜瑞-KY,0.29,800000
2026-07-22,6415.TW,矽力*-KY,0.26,900000
2026-07-22,2049.TW,上銀,0.19,1010000
2026-07-22,6442.TW,光聖,0.18,225000
2026-07-22,3008.TW,大立光,0.14,60000
2026-07-22,2404.TW,漢唐,0.13,180000
2026-07-22,3264.TW,欣銓,0.08,600000
2026-07-22,2455.TW,全新,0.06,336000
2026-07-22,6285.TW,啟碁,0.04,250000
