date,symbol,name,weight_percent,shares
2026-08-03,2330.TW,台積電,17.45,12680000
2026-08-03,2303.TW,聯電,5.33,77800000
2026-08-03,3017.TW,奇鋐,5.11,3450000
2026-08-03,2383.TW,台光電,4.32,1495000
2026-08-03,2454.TW,聯發科,4.08,1795000
2026-08-03,3037.TW,欣興,3.82,7600000
2026-08-03,6223.TW,旺矽,3.37,1000000
2026-08-03,2344.TW,華邦電,3.32,40000000
2026-08-03,2345.TW,智邦,3.13,2307000
2026-08-03,2308.TW,台達電,2.79,3040000
2026-08-03,3711.TW,日月光投控,2.27,6400000
2026-08-03,3653.TW,健策,2.25,1030000
2026-08-03,6669.TW,緯穎,2.06,600000
2026-08-03,2327.TW,國巨*,1.92,6000000
2026-08-03,4958.TW,臻鼎-KY,1.51,6154000
2026-08-03,5274.TW,信驊,1.47,158500
2026-08-03,3533.TW,嘉澤,1.44,1240000
2026-08-03,6488.TW,環球晶,1.31,2600000
2026-08-03,3189.TW,景碩,1.3,3217000
2026-08-03,3443.TW,創意,1.24,510000
2026-08-03,3665.TW,貿聯-KY,1.23,1010000
2026-08-03,6274.TW,台燿,1.19,1680000
2026-08-03,7769.TW,鴻勁,1.12,300000
2026-08-03,2360.TW,致茂,1.02,897000
2026-08-03,8046.TW,南電,0.97,1750000
2026-08-03,8996.TW,高力,0.87,1600000
2026-08-03,6805.TW,富世達,0.6,700000
2026-08-03,1560.TW,中砂,0.53,1350000
2026-08-03,6239.TW,力成,0.52,3740000
2026-08-03,2337.TW,旺宏,0.48,7498000
2026-08-03,2317.TW,鴻海,0.47,3200000
2026-08-03,1303.TW,南亞,0.44,4587000
2026-08-03,3008.TW,大立光,0.39,170000
2026-08-03,3211.TW,順達,0.36,2000000
2026-08-03,3583.TW,辛耘,0.35,900000
2026-08-03,4966.TW,譜瑞-KY,0.27,800000
2026-08-03,8358.TW,金居,0.25,1312000
2026-08-03,2049.TW,上銀,0.19,1010000
2026-08-03,6442.TW,光聖,0.17,225000
2026-08-03,2404.TW,漢唐,0.16,250000
2026-08-03,6415.TW,矽力*-KY,0.15,624000
2026-08-03,6515.TW,穎崴,0.11,29000
2026-08-03,3450.TW,聯鈞,0.08,337000
2026-08-03,3264.TW,欣銓,0.08,700000
2026-08-03,2481.TW,強茂,0.07,869000
2026-08-03,2455.TW,全新,0.06,336000
2026-08-03,6285.TW,啟碁,0.03,250000
2026-08-03,1717.TW,長興,0.02,500000
