date,symbol,name,weight_percent,shares
2026-06-15,2330.TW,台積電,8.65,1706000
2026-06-15,2383.TW,台光電,6.04,563000
2026-06-15,3017.TW,奇鋐,5.19,1009000
2026-06-15,2345.TW,智邦,5.07,977000
2026-06-15,3665.TW,貿聯-KY,4.62,955000
2026-06-15,6223.TW,旺矽,4.48,326000
2026-06-15,8996.TW,高力,4.37,1630000
2026-06-15,2059.TW,川湖,4.35,293000
2026-06-15,3037.TW,欣興,4.3,2097000
2026-06-15,2454.TW,聯發科,3.87,406000
2026-06-15,3443.TW,創意,3.2,311000
2026-06-15,2327.TW,國巨*,3.14,1566000
2026-06-15,6515.TW,穎崴,3.07,145000
2026-06-15,6584.TW,南俊國際,2.94,2204000
2026-06-15,6187.TW,萬潤,2.94,1220000
2026-06-15,2368.TW,金像電,2.66,945000
2026-06-15,3008.TW,大立光,2.45,260000
2026-06-15,6669.TW,緯穎,2.38,228000
2026-06-15,3661.TW,世芯-KY,2.38,262000
2026-06-15,8299.TW,群聯,2.2,445000
2026-06-15,2455.TW,全新,2.17,2753000
2026-06-15,3105.TW,穩懋,2.13,1949000
2026-06-15,3711.TW,日月光投控,2.05,1629000
2026-06-15,3653.TW,健策,1.75,214000
2026-06-15,2308.TW,台達電,1.62,344000
2026-06-15,8021.TW,尖點,1.62,1501000
2026-06-15,7769.TW,鴻勁,1.4,91000
2026-06-15,8046.TW,南電,1.32,718000
2026-06-15,7751.TW,竑騰,1.11,375000
2026-06-15,3583.TW,辛耘,0.99,566000
2026-06-15,2360.TW,致茂,0.97,200000
2026-06-15,3189.TW,景碩,0.62,440013
2026-06-15,2303.TW,聯電,0.6,2000000
2026-06-15,6139.TW,亞翔,0.47,250000
2026-06-15,2337.TW,旺宏,0.46,1343000
2026-06-15,3363.TW,上詮,0.45,300000
2026-06-15,5289.TW,宜鼎,0.4,98000
2026-06-15,6805.TW,富世達,0.4,109000
2026-06-15,7734.TW,印能科技,0.35,56000
2026-06-15,3260.TW,威剛,0.32,358000
2026-06-15,3264.TW,欣銓,0.04,72000
2026-06-15,3491.TW,昇達科,0.0,1000
