date,symbol,name,previous_shares,current_shares,change_shares,previous_weight_percent,current_weight_percent,status
2026-06-18,1590.TW,亞德客-KY,530000,530000,0,0.24,0.25,unchanged
2026-06-18,1815.TW,富喬,107000,107000,0,0.0,0.0,unchanged
2026-06-18,2002.TW,中鋼,5163000,5163000,0,0.03,0.03,unchanged
2026-06-18,2303.TW,聯電,77390000,77390000,0,3.71,3.78,unchanged
2026-06-18,2308.TW,台達電,6572000,6572000,0,4.85,4.75,unchanged
2026-06-18,2313.TW,華通,329000,329000,0,0.03,0.03,unchanged
2026-06-18,2317.TW,鴻海,7307000,7307000,0,0.68,0.66,unchanged
2026-06-18,2327.TW,國巨*,23292000,23892000,600000,7.85,8.67,increased
2026-06-18,2330.TW,台積電,11960000,11960000,0,9.77,9.68,unchanged
2026-06-18,2345.TW,智邦,6334000,6334000,0,5.41,5.18,unchanged
2026-06-18,2368.TW,金像電,8315000,8315000,0,3.9,3.78,unchanged
2026-06-18,2382.TW,廣達,1000,1000,0,0.0,0.0,unchanged
2026-06-18,2383.TW,台光電,4486000,4486000,0,7.99,8.44,unchanged
2026-06-18,2439.TW,美律,18000,18000,0,0.0,0.0,unchanged
2026-06-18,2449.TW,京元電子,3645000,6484000,2839000,0.35,0.67,increased
2026-06-18,2454.TW,聯發科,4861000,4861000,0,7.42,7.17,unchanged
2026-06-18,2481.TW,強茂,5000,5000,0,0.0,0.0,unchanged
2026-06-18,3008.TW,大立光,1000,1000,0,0.0,0.0,unchanged
2026-06-18,3017.TW,奇鋐,5191000,5191000,0,4.2,4.18,unchanged
2026-06-18,3037.TW,欣興,12466000,12466000,0,4.22,4.05,unchanged
2026-06-18,3264.TW,欣銓,1000,1508000,1507000,0.0,0.12,increased
2026-06-18,3376.TW,新日興,1741000,1741000,0,0.12,0.12,unchanged
2026-06-18,3443.TW,創意,258000,258000,0,0.45,0.42,unchanged
2026-06-18,3533.TW,嘉澤,852000,852000,0,0.67,0.66,unchanged
2026-06-18,3653.TW,健策,2267000,2267000,0,3.1,3.02,unchanged
2026-06-18,3661.TW,世芯-KY,1000,1000,0,0.0,0.0,unchanged
2026-06-18,3665.TW,貿聯-KY,4833848,4833848,0,3.46,3.41,unchanged
2026-06-18,3711.TW,日月光投控,17948000,17948000,0,3.66,3.7,unchanged
2026-06-18,4958.TW,臻鼎-KY,1428000,1428000,0,0.31,0.31,unchanged
2026-06-18,4966.TW,譜瑞-KY,1642000,1642000,0,0.38,0.38,unchanged
2026-06-18,5274.TW,信驊,422000,422000,0,2.67,2.69,unchanged
2026-06-18,5347.TW,世界,1000,1000,0,0.0,0.0,unchanged
2026-06-18,5439.TW,高技,3528000,3528000,0,0.39,0.39,unchanged
2026-06-18,6147.TW,頎邦,6275000,6275000,0,0.49,0.53,unchanged
2026-06-18,6187.TW,萬潤,1334000,1334000,0,0.53,0.55,unchanged
2026-06-18,6191.TW,精成科,3988000,3988000,0,0.14,0.13,unchanged
2026-06-18,6223.TW,旺矽,2279000,2279000,0,5.01,4.91,unchanged
2026-06-18,6271.TW,同欣電,1466000,1966000,500000,0.11,0.16,increased
2026-06-18,6274.TW,台燿,4927000,5058000,131000,2.82,3.12,increased
2026-06-18,6278.TW,台表科,4334000,4334000,0,0.3,0.3,unchanged
2026-06-18,6488.TW,環球晶,350000,350000,0,0.13,0.13,unchanged
2026-06-18,6510.TW,精測,930000,930000,0,1.13,1.13,unchanged
2026-06-18,6515.TW,穎崴,436000,436000,0,1.41,1.38,unchanged
2026-06-18,6669.TW,緯穎,2492000,2492000,0,4.33,4.29,unchanged
2026-06-18,6805.TW,富世達,1811000,1811000,0,1.06,1.07,unchanged
2026-06-18,8046.TW,南電,10828000,10828000,0,3.28,3.18,unchanged
2026-06-18,8150.TW,南茂,11635000,11635000,0,0.38,0.41,unchanged
2026-06-18,8210.TW,勤誠,2267000,2267000,0,1.04,1.04,unchanged
2026-06-18,8358.TW,金居,980000,980000,0,0.21,0.23,unchanged
2026-06-18,8996.TW,高力,1034000,1034000,0,0.54,0.55,unchanged
