date,symbol,name,previous_shares,current_shares,change_shares,previous_weight_percent,current_weight_percent,status
2026-08-06,1590.TW,亞德客-KY,528000,528000,0,0.26,0.27,unchanged
2026-08-06,2002.TW,中鋼,5163000,5163000,0,0.03,0.03,unchanged
2026-08-06,2049.TW,上銀,1080000,1080000,0,0.13,0.13,unchanged
2026-08-06,2303.TW,聯電,87718000,87718000,0,3.49,3.45,unchanged
2026-08-06,2308.TW,台達電,5932000,6505000,573000,3.19,3.53,increased
2026-08-06,2313.TW,華通,1000,1000,0,0.0,0.0,unchanged
2026-08-06,2317.TW,鴻海,1000,1000,0,0.0,0.0,unchanged
2026-08-06,2327.TW,國巨*,25437000,25437000,0,4.79,4.69,unchanged
2026-08-06,2330.TW,台積電,12134000,12134000,0,9.5,9.28,unchanged
2026-08-06,2345.TW,智邦,6419000,6419000,0,4.99,5.0,unchanged
2026-08-06,2360.TW,致茂,472000,472000,0,0.29,0.3,unchanged
2026-08-06,2368.TW,金像電,5556000,5000000,-556000,1.7,1.59,decreased
2026-08-06,2382.TW,廣達,1000,1000,0,0.0,0.0,unchanged
2026-08-06,2383.TW,台光電,4863000,4863000,0,8.31,8.34,unchanged
2026-08-06,2408.TW,南亞科,940000,940000,0,0.14,0.14,unchanged
2026-08-06,2439.TW,美律,1000,1000,0,0.0,0.0,unchanged
2026-08-06,2449.TW,京元電子,11295450,11295450,0,0.91,0.91,unchanged
2026-08-06,2454.TW,聯發科,5448000,5448000,0,7.1,6.9,unchanged
2026-08-06,2481.TW,強茂,5000,5000,0,0.0,0.0,unchanged
2026-08-06,3008.TW,大立光,1000,1000,0,0.0,0.0,unchanged
2026-08-06,3017.TW,奇鋐,5801000,5801000,0,5.16,5.51,unchanged
2026-08-06,3037.TW,欣興,20210000,20210000,0,6.38,6.36,unchanged
2026-08-06,3264.TW,欣銓,1508000,1508000,0,0.1,0.1,unchanged
2026-08-06,3376.TW,新日興,1741000,1741000,0,0.1,0.11,unchanged
2026-08-06,3443.TW,創意,1000,1000,0,0.0,0.0,unchanged
2026-08-06,3533.TW,嘉澤,1000,1000,0,0.0,0.0,unchanged
2026-08-06,3653.TW,健策,2375000,2375000,0,3.36,3.42,unchanged
2026-08-06,3661.TW,世芯-KY,1000,1000,0,0.0,0.0,unchanged
2026-08-06,3665.TW,貿聯-KY,5130848,5130848,0,3.94,3.93,unchanged
2026-08-06,3711.TW,日月光投控,17439000,17439000,0,3.37,3.35,unchanged
2026-08-06,4958.TW,臻鼎-KY,1682000,1682000,0,0.27,0.26,unchanged
2026-08-06,4966.TW,譜瑞-KY,140000,140000,0,0.03,0.03,unchanged
2026-08-06,4979.TW,華星光,1874000,1874000,0,0.3,0.3,unchanged
2026-08-06,5274.TW,信驊,454900,454900,0,2.37,2.46,unchanged
2026-08-06,5347.TW,世界,1000,1000,0,0.0,0.0,unchanged
2026-08-06,6187.TW,萬潤,1334000,1334000,0,0.46,0.51,unchanged
2026-08-06,6191.TW,精成科,3988000,3988000,0,0.11,0.11,unchanged
2026-08-06,6223.TW,旺矽,2443000,2443000,0,4.97,4.98,unchanged
2026-08-06,6271.TW,同欣電,2224000,2224000,0,0.14,0.14,unchanged
2026-08-06,6274.TW,台燿,5499000,5499000,0,2.63,2.72,unchanged
2026-08-06,6278.TW,台表科,3250000,3250000,0,0.18,0.17,unchanged
2026-08-06,6488.TW,環球晶,1000,1000,0,0.0,0.0,unchanged
2026-08-06,6510.TW,精測,261000,261000,0,0.23,0.24,unchanged
2026-08-06,6515.TW,穎崴,93000,23000,-70000,0.21,0.05,decreased
2026-08-06,6669.TW,緯穎,2708000,2708000,0,5.45,5.49,unchanged
2026-08-06,6805.TW,富世達,1957000,2053000,96000,1.02,1.17,increased
2026-08-06,8046.TW,南電,9519000,9519000,0,3.29,3.4,unchanged
2026-08-06,8150.TW,南茂,1000,1000,0,0.0,0.0,unchanged
2026-08-06,8210.TW,勤誠,2297000,2497000,200000,0.88,1.0,increased
2026-08-06,8358.TW,金居,1000,1000,0,0.0,0.0,unchanged
2026-08-06,8996.TW,高力,712000,712000,0,0.24,0.26,unchanged
