date,symbol,name,previous_shares,current_shares,change_shares,previous_weight_percent,current_weight_percent,status
2026-09-21,1590.TW,亞德客-KY,1000,1000,0,0.0,0.0,unchanged
2026-09-21,2002.TW,中鋼,5163000,5163000,0,0.03,0.03,unchanged
2026-09-21,2303.TW,聯電,89118000,89118000,0,4.95,4.89,unchanged
2026-09-21,2308.TW,台達電,7240000,7240000,0,4.47,4.75,unchanged
2026-09-21,2313.TW,華通,501000,501000,0,0.04,0.04,unchanged
2026-09-21,2317.TW,鴻海,1000,1000,0,0.0,0.0,unchanged
2026-09-21,2327.TW,國巨*,24987000,24987000,0,4.89,4.87,unchanged
2026-09-21,2330.TW,台積電,11864000,11864000,0,10.39,10.29,unchanged
2026-09-21,2345.TW,智邦,6464000,6464000,0,4.27,4.16,unchanged
2026-09-21,2360.TW,致茂,1000,1000,0,0.0,0.0,unchanged
2026-09-21,2368.TW,金像電,1234000,1234000,0,0.45,0.45,unchanged
2026-09-21,2382.TW,廣達,1000,1000,0,0.0,0.0,unchanged
2026-09-21,2383.TW,台光電,4750000,4750000,0,8.27,8.13,unchanged
2026-09-21,2408.TW,南亞科,1000,1000,0,0.0,0.0,unchanged
2026-09-21,2439.TW,美律,1000,1000,0,0.0,0.0,unchanged
2026-09-21,2449.TW,京元電子,13138450,13138450,0,1.36,1.39,unchanged
2026-09-21,2454.TW,聯發科,5186000,5186000,0,8.7,9.08,unchanged
2026-09-21,2481.TW,強茂,5000,5000,0,0.0,0.0,unchanged
2026-09-21,2637.TW,慧洋-KY,1000,1000,0,0.0,0.0,unchanged
2026-09-21,3008.TW,大立光,1000,1000,0,0.0,0.0,unchanged
2026-09-21,3017.TW,奇鋐,5949000,5949000,0,7.26,7.1,unchanged
2026-09-21,3037.TW,欣興,20300000,20300000,0,7.09,7.24,unchanged
2026-09-21,3264.TW,欣銓,6628000,6628000,0,0.63,0.66,unchanged
2026-09-21,3376.TW,新日興,1740000,1740000,0,0.11,0.11,unchanged
2026-09-21,3443.TW,創意,413000,413000,0,1.05,1.1,unchanged
2026-09-21,3653.TW,健策,2512000,2512000,0,4.94,5.09,unchanged
2026-09-21,3661.TW,世芯-KY,1000,1000,0,0.0,0.0,unchanged
2026-09-21,3665.TW,貿聯-KY,4280848,4280848,0,3.37,3.44,unchanged
2026-09-21,3711.TW,日月光投控,16811000,16811000,0,3.82,3.9,unchanged
2026-09-21,4958.TW,臻鼎-KY,2712000,2712000,0,0.46,0.45,unchanged
2026-09-21,4966.TW,譜瑞-KY,1000,1000,0,0.0,0.0,unchanged
2026-09-21,4979.TW,華星光,1000,1000,0,0.0,0.0,unchanged
2026-09-21,5274.TW,信驊,207900,207900,0,1.43,1.44,unchanged
2026-09-21,5347.TW,世界,1000,1000,0,0.0,0.0,unchanged
2026-09-21,6187.TW,萬潤,1000,1000,0,0.0,0.0,unchanged
2026-09-21,6191.TW,精成科,3988000,3988000,0,0.12,0.12,unchanged
2026-09-21,6223.TW,旺矽,2546000,2544000,-2000,5.26,4.89,decreased
2026-09-21,6271.TW,同欣電,2222000,2222000,0,0.18,0.18,unchanged
2026-09-21,6274.TW,台燿,5398000,5546000,148000,2.63,2.78,increased
2026-09-21,6278.TW,台表科,3248000,3248000,0,0.23,0.22,unchanged
2026-09-21,6488.TW,環球晶,1000,1000,0,0.0,0.0,unchanged
2026-09-21,6510.TW,精測,446000,446000,0,0.56,0.54,unchanged
2026-09-21,6515.TW,穎崴,95000,95000,0,0.22,0.19,unchanged
2026-09-21,6669.TW,緯穎,5972561,5656561,-316000,4.55,4.25,decreased
2026-09-21,6805.TW,"台指期貨 2026/10(FITXN*1.TF)2.28679
			
				富世達",1773000,1773000,0,1.45,1.5,unchanged
2026-09-21,8046.TW,南電,9426000,9037000,-389000,3.69,3.35,decreased
2026-09-21,8150.TW,南茂,1000,1000,0,0.0,0.0,unchanged
2026-09-21,8210.TW,勤誠,1364000,1159000,-205000,0.44,0.36,decreased
2026-09-21,8358.TW,金居,1000,1000,0,0.0,0.0,unchanged
2026-09-21,8996.TW,高力,485000,485000,0,0.25,0.26,unchanged
