date,symbol,name,previous_shares,current_shares,change_shares,previous_weight_percent,current_weight_percent,status
2026-05-20,1319.TW,東陽,511000,511000,0,0.02,0.02,unchanged
2026-05-20,1590.TW,亞德客-KY,530000,530000,0,0.3,0.3,unchanged
2026-05-20,1815.TW,富喬,107000,107000,0,0.0,0.0,unchanged
2026-05-20,2002.TW,中鋼,5163000,5163000,0,0.04,0.04,unchanged
2026-05-20,2303.TW,聯電,66190000,66190000,0,2.99,2.89,unchanged
2026-05-20,2308.TW,台達電,6572000,6572000,0,5.04,5.08,unchanged
2026-05-20,2313.TW,華通,4124000,4124000,0,0.42,0.42,unchanged
2026-05-20,2317.TW,鴻海,1000,1000,0,0.0,0.0,unchanged
2026-05-20,2327.TW,國巨*,18313000,18313000,0,3.64,3.84,unchanged
2026-05-20,2330.TW,台積電,11657000,11657000,0,10.28,10.28,unchanged
2026-05-20,2345.TW,智邦,6231000,6231000,0,5.96,5.92,unchanged
2026-05-20,2357.TW,華碩,1622000,1622000,0,0.42,0.42,unchanged
2026-05-20,2368.TW,金像電,7018000,7018000,0,3.61,3.5,unchanged
2026-05-20,2383.TW,台光電,4723000,4723000,0,8.57,8.38,unchanged
2026-05-20,2404.TW,漢唐,1394000,1394000,0,0.57,0.58,unchanged
2026-05-20,2439.TW,美律,18000,18000,0,0.0,0.0,unchanged
2026-05-20,2449.TW,京元電子,12919000,12919000,0,1.49,1.45,unchanged
2026-05-20,2454.TW,聯發科,4263000,4263000,0,5.38,5.56,unchanged
2026-05-20,2481.TW,強茂,3654000,2056000,-1598000,0.2,0.11,decreased
2026-05-20,3008.TW,大立光,329000,329000,0,0.44,0.42,unchanged
2026-05-20,3017.TW,奇鋐,4925000,4925000,0,4.71,4.65,unchanged
2026-05-20,3036.TW,文曄,1200000,1200000,0,0.13,0.14,unchanged
2026-05-20,3037.TW,欣興,10822000,10822000,0,3.54,3.59,unchanged
2026-05-20,3217.TW,優群,874000,874000,0,0.07,0.07,unchanged
2026-05-20,3264.TW,欣銓,7772000,6217000,-1555000,0.67,0.52,decreased
2026-05-20,3376.TW,新日興,1741000,1741000,0,0.14,0.14,unchanged
2026-05-20,3443.TW,創意,96000,96000,0,0.17,0.18,unchanged
2026-05-20,3533.TW,嘉澤,260000,624000,364000,0.24,0.59,increased
2026-05-20,3653.TW,健策,2267000,2267000,0,2.8,2.77,unchanged
2026-05-20,3661.TW,世芯-KY,1000,1000,0,0.0,0.0,unchanged
2026-05-20,3665.TW,貿聯-KY,4703848,4703848,0,3.75,3.73,unchanged
2026-05-20,3711.TW,日月光投控,14998000,14998000,0,2.83,2.88,unchanged
2026-05-20,4966.TW,譜瑞-KY,1036000,1036000,0,0.3,0.32,unchanged
2026-05-20,5274.TW,信驊,422000,422000,0,2.69,2.65,unchanged
2026-05-20,5347.TW,世界,1000,1000,0,0.0,0.0,unchanged
2026-05-20,5439.TW,高技,3528000,3528000,0,0.54,0.52,unchanged
2026-05-20,6147.TW,頎邦,1000,3201000,3200000,0.0,0.28,increased
2026-05-20,6187.TW,萬潤,1224000,1224000,0,0.55,0.54,unchanged
2026-05-20,6191.TW,精成科,3988000,3988000,0,0.15,0.15,unchanged
2026-05-20,6223.TW,旺矽,2169000,2169000,0,4.97,4.97,unchanged
2026-05-20,6274.TW,台燿,4151000,4151000,0,2.03,2.02,unchanged
2026-05-20,6278.TW,台表科,3734000,3734000,0,0.32,0.31,unchanged
2026-05-20,6415.TW,矽力*-KY,1038000,1038000,0,0.2,0.21,unchanged
2026-05-20,6510.TW,精測,930000,930000,0,1.29,1.27,unchanged
2026-05-20,6515.TW,穎崴,442000,442000,0,1.68,1.62,unchanged
2026-05-20,6669.TW,緯穎,2294000,2294000,0,4.49,4.55,unchanged
2026-05-20,6805.TW,富世達,1761000,1761000,0,1.25,1.22,unchanged
2026-05-20,8046.TW,南電,12658000,12658000,0,4.04,4.23,unchanged
2026-05-20,8150.TW,南茂,11334000,11334000,0,0.35,0.34,unchanged
2026-05-20,8210.TW,勤誠,1967000,1967000,0,1.04,1.02,unchanged
2026-05-20,8358.TW,金居,1980000,1980000,0,0.34,0.37,unchanged
2026-05-20,8996.TW,高力,1034000,1034000,0,0.43,0.41,unchanged
