date,symbol,name,previous_shares,current_shares,change_shares,previous_weight_percent,current_weight_percent,status
2026-06-24,1519.TW,華城,1000,0,-1000,0.0,,removed
2026-06-24,2059.TW,川湖,290000,300000,10000,3.23,3.33,increased
2026-06-24,2303.TW,聯電,9000000,10000000,1000000,2.28,2.63,increased
2026-06-24,2308.TW,台達電,450000,0,-450000,1.39,,removed
2026-06-24,2313.TW,華通,9000,0,-9000,0.0,,removed
2026-06-24,2317.TW,鴻海,9000,0,-9000,0.0,,removed
2026-06-24,2327.TW,國巨*,6150000,6150000,0,9.34,9.55,unchanged
2026-06-24,2330.TW,台積電,3400000,3400000,0,12.61,12.02,unchanged
2026-06-24,2337.TW,旺宏,9000,0,-9000,0.0,,removed
2026-06-24,2344.TW,華邦電,6300000,7600000,1300000,1.99,2.31,increased
2026-06-24,2345.TW,智邦,900000,940000,40000,3.26,3.3,increased
2026-06-24,2360.TW,致茂,1000,0,-1000,0.0,,removed
2026-06-24,2368.TW,金像電,700000,0,-700000,1.32,,removed
2026-06-24,2382.TW,廣達,9000,0,-9000,0.01,,removed
2026-06-24,2383.TW,台光電,850000,850000,0,7.22,6.99,unchanged
2026-06-24,2404.TW,漢唐,1000,0,-1000,0.0,,removed
2026-06-24,2408.TW,南亞科,8600000,8800000,200000,5.82,5.77,increased
2026-06-24,2412.TW,中華電,1000,0,-1000,0.0,,removed
2026-06-24,2449.TW,京元電子,9000,0,-9000,0.0,,removed
2026-06-24,2454.TW,聯發科,820000,850000,30000,5.54,5.39,increased
2026-06-24,2492.TW,華新科,3200000,3200000,0,2.75,2.79,unchanged
2026-06-24,2603.TW,長榮,9000,0,-9000,0.0,,removed
2026-06-24,2881.TW,富邦金,9000,0,-9000,0.0,,removed
2026-06-24,2882.TW,國泰金,9000,0,-9000,0.0,,removed
2026-06-24,2885.TW,元大金,9000,0,-9000,0.0,,removed
2026-06-24,2891.TW,中信金,9000,0,-9000,0.0,,removed
2026-06-24,3017.TW,奇鋐,400000,0,-400000,1.45,,removed
2026-06-24,3036.TW,文曄,1000,0,-1000,0.0,,removed
2026-06-24,3037.TW,欣興,3200000,3350000,150000,4.64,4.61,increased
2026-06-24,3042.TW,晶技,9000,0,-9000,0.0,,removed
2026-06-24,3044.TW,健鼎,1000,0,-1000,0.0,,removed
2026-06-24,3189.TW,景碩,2400000,2400000,0,2.6,2.62,unchanged
2026-06-24,3231.TW,緯創,9000,0,-9000,0.0,,removed
2026-06-24,3324.TW,雙鴻,1000,0,-1000,0.0,,removed
2026-06-24,3653.TW,健策,1000,0,-1000,0.01,,removed
2026-06-24,3665.TW,貿聯-KY,450000,450000,0,1.34,1.34,unchanged
2026-06-24,3711.TW,日月光投控,1400000,2600000,1200000,1.38,2.51,increased
2026-06-24,4958.TW,臻鼎-KY,1500000,1500000,0,1.31,1.3,unchanged
2026-06-24,5274.TW,信驊,115000,120000,5000,3.17,3.25,increased
2026-06-24,5347.TW,世界,9000,0,-9000,0.0,,removed
2026-06-24,6223.TW,旺矽,400000,415000,15000,3.98,4.41,increased
2026-06-24,6274.TW,台燿,1450000,1600000,150000,3.75,4.18,increased
2026-06-24,6510.TW,精測,1000,0,-1000,0.01,,removed
2026-06-24,6515.TW,穎崴,100000,170000,70000,1.41,2.39,increased
2026-06-24,6669.TW,緯穎,185000,185000,0,1.29,1.26,unchanged
2026-06-24,7769.TW,鴻勁,290000,290000,0,2.94,2.9,unchanged
2026-06-24,8046.TW,南電,1650000,1900000,250000,2.23,2.68,increased
2026-06-24,8210.TW,勤誠,690000,690000,0,1.35,1.35,unchanged
2026-06-24,8299.TW,群聯,1450000,1500000,50000,5.25,5.55,increased
2026-06-24,8996.TW,高力,620000,620000,0,1.34,1.33,unchanged
