date,symbol,name,previous_shares,current_shares,change_shares,previous_weight_percent,current_weight_percent,status
2026-06-26,1519.TW,華城,1000,0,-1000,0.0,,removed
2026-06-26,2059.TW,川湖,300000,310000,10000,3.18,3.29,increased
2026-06-26,2303.TW,聯電,10000000,11000000,1000000,2.59,2.74,increased
2026-06-26,2308.TW,台達電,9000,9000,0,0.03,0.03,unchanged
2026-06-26,2313.TW,華通,9000,0,-9000,0.0,,removed
2026-06-26,2317.TW,鴻海,9000,0,-9000,0.0,,removed
2026-06-26,2327.TW,國巨*,6150000,6150000,0,10.02,9.48,unchanged
2026-06-26,2330.TW,台積電,3400000,3400000,0,11.77,12.08,unchanged
2026-06-26,2337.TW,旺宏,9000,0,-9000,0.0,,removed
2026-06-26,2344.TW,華邦電,7600000,8000000,400000,2.42,2.51,increased
2026-06-26,2345.TW,智邦,940000,970000,30000,3.24,3.51,increased
2026-06-26,2360.TW,致茂,1000,0,-1000,0.0,,removed
2026-06-26,2368.TW,金像電,9000,9000,0,0.02,0.02,unchanged
2026-06-26,2382.TW,廣達,9000,0,-9000,0.01,,removed
2026-06-26,2383.TW,台光電,850000,850000,0,6.94,6.78,unchanged
2026-06-26,2404.TW,漢唐,1000,650000,649000,0.0,1.32,increased
2026-06-26,2408.TW,南亞科,8800000,9000000,200000,6.08,6.13,increased
2026-06-26,2412.TW,中華電,1000,0,-1000,0.0,,removed
2026-06-26,2449.TW,京元電子,9000,0,-9000,0.0,,removed
2026-06-26,2454.TW,聯發科,850000,850000,0,5.31,5.01,unchanged
2026-06-26,2492.TW,華新科,3200000,3200000,0,2.78,2.62,unchanged
2026-06-26,2603.TW,長榮,9000,0,-9000,0.0,,removed
2026-06-26,2881.TW,富邦金,9000,0,-9000,0.0,,removed
2026-06-26,2882.TW,國泰金,9000,0,-9000,0.0,,removed
2026-06-26,2885.TW,元大金,9000,0,-9000,0.0,,removed
2026-06-26,2891.TW,中信金,9000,0,-9000,0.0,,removed
2026-06-26,3017.TW,奇鋐,9000,9000,0,0.03,0.03,unchanged
2026-06-26,3036.TW,文曄,1000,0,-1000,0.0,,removed
2026-06-26,3037.TW,欣興,3350000,3450000,100000,4.95,5.11,increased
2026-06-26,3042.TW,晶技,9000,0,-9000,0.0,,removed
2026-06-26,3044.TW,健鼎,1000,0,-1000,0.0,,removed
2026-06-26,3189.TW,景碩,2400000,2500000,100000,2.82,3.03,increased
2026-06-26,3231.TW,緯創,9000,0,-9000,0.0,,removed
2026-06-26,3324.TW,雙鴻,1000,0,-1000,0.0,,removed
2026-06-26,3653.TW,健策,1000,0,-1000,0.01,,removed
2026-06-26,3665.TW,貿聯-KY,450000,450000,0,1.25,1.27,unchanged
2026-06-26,3711.TW,日月光投控,2600000,2700000,100000,2.41,2.59,increased
2026-06-26,4958.TW,臻鼎-KY,1500000,1500000,0,1.31,1.32,unchanged
2026-06-26,5274.TW,信驊,120000,120000,0,3.03,2.84,unchanged
2026-06-26,5347.TW,世界,9000,0,-9000,0.0,,removed
2026-06-26,6223.TW,旺矽,415000,430000,15000,4.15,4.24,increased
2026-06-26,6274.TW,台燿,1700000,1700000,0,4.19,4.08,unchanged
2026-06-26,6510.TW,精測,1000,0,-1000,0.01,,removed
2026-06-26,6515.TW,穎崴,180000,190000,10000,2.37,2.36,increased
2026-06-26,6669.TW,緯穎,185000,185000,0,1.22,1.2,unchanged
2026-06-26,7769.TW,鴻勁,290000,300000,10000,2.91,2.96,increased
2026-06-26,8046.TW,南電,1900000,2000000,100000,2.88,3.42,increased
2026-06-26,8210.TW,勤誠,690000,690000,0,1.28,1.29,unchanged
2026-06-26,8299.TW,群聯,1500000,1500000,0,5.38,5.26,unchanged
2026-06-26,8996.TW,高力,620000,620000,0,1.31,1.29,unchanged
