date,symbol,name,previous_shares,current_shares,change_shares,previous_weight_percent,current_weight_percent,status
2026-09-14,1216.TW,統一,1000,1000,0,0.0,0.0,unchanged
2026-09-14,2059.TW,川湖,500000,500000,0,7.78,7.81,unchanged
2026-09-14,2303.TW,聯電,9000,9000,0,0.0,0.0,unchanged
2026-09-14,2308.TW,台達電,1000,1000,0,0.0,0.0,unchanged
2026-09-14,2313.TW,華通,1253,1253,0,0.0,0.0,unchanged
2026-09-14,2317.TW,鴻海,9000,9000,0,0.0,0.0,unchanged
2026-09-14,2327.TW,國巨*,7500000,7500000,0,5.26,5.33,unchanged
2026-09-14,2330.TW,台積電,3800000,3800000,0,11.8,11.79,unchanged
2026-09-14,2345.TW,智邦,1100000,1100000,0,2.67,2.69,unchanged
2026-09-14,2357.TW,華碩,1000,1000,0,0.0,0.0,unchanged
2026-09-14,2360.TW,致茂,1000,1000,0,0.0,0.0,unchanged
2026-09-14,2379.TW,瑞昱,1000,1000,0,0.0,0.0,unchanged
2026-09-14,2382.TW,廣達,9000,9000,0,0.0,0.0,unchanged
2026-09-14,2383.TW,台光電,1380000,1380000,0,9.54,9.62,unchanged
2026-09-14,2408.TW,南亞科,13800000,13800000,0,8.77,8.51,unchanged
2026-09-14,2412.TW,中華電,1000,1000,0,0.0,0.0,unchanged
2026-09-14,2449.TW,京元電子,1450,1450,0,0.0,0.0,unchanged
2026-09-14,2454.TW,聯發科,1000000,1000000,0,5.91,5.94,unchanged
2026-09-14,2603.TW,長榮,9000,9000,0,0.0,0.0,unchanged
2026-09-14,2880.TW,華南金,9090,9090,0,0.0,0.0,unchanged
2026-09-14,2881.TW,富邦金,9000,9000,0,0.0,0.0,unchanged
2026-09-14,2882.TW,國泰金,9000,9000,0,0.0,0.0,unchanged
2026-09-14,2883.TW,凱基金,9000,9000,0,0.0,0.0,unchanged
2026-09-14,2884.TW,玉山金,9000,9000,0,0.0,0.0,unchanged
2026-09-14,2885.TW,元大金,9360,9360,0,0.0,0.0,unchanged
2026-09-14,2886.TW,兆豐金,9000,9000,0,0.0,0.0,unchanged
2026-09-14,2887.TW,台新新光金,9000,9000,0,0.0,0.0,unchanged
2026-09-14,2890.TW,永豐金,9000,9000,0,0.0,0.0,unchanged
2026-09-14,2891.TW,中信金,9000,9000,0,0.0,0.0,unchanged
2026-09-14,2912.TW,統一超,1000,1000,0,0.0,0.0,unchanged
2026-09-14,3008.TW,大立光,1000,1000,0,0.01,0.01,unchanged
2026-09-14,3017.TW,奇鋐,1250000,1250000,0,5.43,5.39,unchanged
2026-09-14,3026.TW,禾伸堂,2700000,2700000,0,2.59,2.57,unchanged
2026-09-14,3036.TW,文曄,1000,1000,0,0.0,0.0,unchanged
2026-09-14,3037.TW,欣興,5100000,5100000,0,6.42,6.45,unchanged
2026-09-14,3044.TW,健鼎,1000,1000,0,0.0,0.0,unchanged
2026-09-14,3081.TW,聯亞,900000,900000,0,3.26,3.22,unchanged
2026-09-14,3189.TW,景碩,4250000,4250000,0,4.5,4.42,unchanged
2026-09-14,3231.TW,緯創,9000,9000,0,0.0,0.0,unchanged
2026-09-14,3653.TW,健策,340000,340000,0,2.53,2.58,unchanged
2026-09-14,3665.TW,貿聯-KY,1000,1000,0,0.0,0.0,unchanged
2026-09-14,3711.TW,日月光投控,2500000,2500000,0,1.99,1.99,unchanged
2026-09-14,5274.TW,信驊,140500,140500,0,3.24,3.29,unchanged
2026-09-14,5347.TW,世界,9000,9000,0,0.0,0.0,unchanged
2026-09-14,6223.TW,旺矽,450000,450000,0,3.26,3.28,unchanged
2026-09-14,6274.TW,台燿,1500000,1500000,0,2.64,2.76,unchanged
2026-09-14,6669.TW,緯穎,1500020,1500020,0,4.46,4.44,unchanged
2026-09-14,7769.TW,鴻勁,250000,250000,0,2.03,2.06,unchanged
2026-09-14,8046.TW,南電,3300000,3300000,0,4.59,4.54,unchanged
2026-09-14,8299.TW,群聯,1000,1000,0,0.0,0.0,unchanged
