date,symbol,name,previous_shares,current_shares,change_shares,previous_weight_percent,current_weight_percent,status
2026-08-06,2059.TW,川湖,500000,500000,0,5.34,5.65,unchanged
2026-08-06,2327.TW,國巨*,7700000,7700000,0,5.02,4.91,unchanged
2026-08-06,2330.TW,台積電,5400000,5400000,0,14.64,14.28,unchanged
2026-08-06,2345.TW,智邦,1800000,1800000,0,4.84,4.85,unchanged
2026-08-06,2383.TW,台光電,1430000,1430000,0,8.45,8.48,unchanged
2026-08-06,2408.TW,南亞科,14000000,14000000,0,7.02,7.18,unchanged
2026-08-06,2454.TW,聯發科,1150000,1150000,0,5.19,5.04,unchanged
2026-08-06,2881.TW,富邦金,3200000,0,-3200000,0.47,,removed
2026-08-06,2885.TW,元大金,6100000,6100000,0,0.48,0.46,unchanged
2026-08-06,3017.TW,奇鋐,1200000,1200000,0,3.69,3.94,unchanged
2026-08-06,3026.TW,禾伸堂,2700000,2700000,0,1.67,1.79,unchanged
2026-08-06,3037.TW,欣興,5000000,5000000,0,5.46,5.44,unchanged
2026-08-06,3189.TW,景碩,3200000,3600000,400000,2.99,3.43,increased
2026-08-06,3231.TW,緯創,9000000,9000000,0,1.96,1.91,unchanged
2026-08-06,3653.TW,健策,325000,325000,0,1.59,1.62,unchanged
2026-08-06,3665.TW,貿聯-KY,760000,760000,0,2.02,2.01,unchanged
2026-08-06,3711.TW,日月光投控,4600000,4600000,0,3.08,3.06,unchanged
2026-08-06,5274.TW,信驊,120500,120500,0,2.18,2.26,unchanged
2026-08-06,6223.TW,旺矽,720000,720000,0,5.07,5.07,unchanged
2026-08-06,6274.TW,台燿,2150000,2300000,150000,3.56,3.93,increased
2026-08-06,6669.TW,緯穎,570000,570000,0,3.97,3.99,unchanged
2026-08-06,7769.TW,鴻勁,400000,400000,0,2.94,2.9,unchanged
2026-08-06,8046.TW,南電,3000000,3000000,0,3.58,3.71,unchanged
2026-08-06,8299.TW,群聯,1300000,1300000,0,2.7,2.94,unchanged
