date,symbol,name,previous_shares,current_shares,change_shares,previous_weight_percent,current_weight_percent,status
2026-07-07,2059.TW,川湖,310000,310000,0,3.27,3.59,unchanged
2026-07-07,2303.TW,聯電,14000000,14000000,0,3.15,3.04,unchanged
2026-07-07,2308.TW,台達電,9000,9000,0,0.02,0.02,unchanged
2026-07-07,2327.TW,國巨*,6400000,6400000,0,8.71,8.11,unchanged
2026-07-07,2330.TW,台積電,3500000,3800000,300000,11.66,12.98,increased
2026-07-07,2344.TW,華邦電,4800000,4800000,0,1.19,1.17,unchanged
2026-07-07,2345.TW,智邦,1000000,1100000,100000,3.58,3.78,increased
2026-07-07,2368.TW,金像電,9000,9000,0,0.02,0.01,unchanged
2026-07-07,2383.TW,台光電,1000000,1100000,100000,7.41,8.04,increased
2026-07-07,2404.TW,漢唐,650000,650000,0,1.16,1.15,unchanged
2026-07-07,2408.TW,南亞科,9000000,9000000,0,5.13,5.08,unchanged
2026-07-07,2454.TW,聯發科,930000,950000,20000,5.2,5.36,increased
2026-07-07,2492.TW,華新科,3200000,3200000,0,2.41,2.25,unchanged
2026-07-07,3017.TW,奇鋐,660000,660000,0,2.39,2.26,unchanged
2026-07-07,3026.TW,禾伸堂,900000,900000,0,1.17,1.09,unchanged
2026-07-07,3037.TW,欣興,3900000,3900000,0,4.84,4.59,unchanged
2026-07-07,3189.TW,景碩,2800000,2800000,0,2.89,2.69,unchanged
2026-07-07,3665.TW,貿聯-KY,260000,260000,0,0.69,0.72,unchanged
2026-07-07,3711.TW,日月光投控,3000000,3200000,200000,2.76,2.92,increased
2026-07-07,5274.TW,信驊,115000,126500,11500,2.53,2.55,increased
2026-07-07,6223.TW,旺矽,520000,530000,10000,4.83,4.68,increased
2026-07-07,6274.TW,台燿,2000000,2000000,0,4.42,4.41,unchanged
2026-07-07,6515.TW,穎崴,210000,220000,10000,2.54,2.47,increased
2026-07-07,6669.TW,緯穎,350000,350000,0,2.39,2.46,unchanged
2026-07-07,7769.TW,鴻勁,300000,300000,0,2.76,2.6,unchanged
2026-07-07,8046.TW,南電,2400000,2600000,200000,3.49,3.75,increased
2026-07-07,8210.TW,勤誠,410000,0,-410000,0.72,,removed
2026-07-07,8299.TW,群聯,1500000,1500000,0,4.65,4.5,unchanged
