date,symbol,name,weight_percent,shares
2026-06-11,2330.TW,台積電,14.24,3650000
2026-06-11,2327.TW,國巨*,8.98,6150000
2026-06-11,2383.TW,台光電,7.07,800000
2026-06-11,8299.TW,群聯,5.45,1430000
2026-06-11,2454.TW,聯發科,5.03,710000
2026-06-11,3037.TW,欣興,4.74,3200000
2026-06-11,2408.TW,南亞科,4.72,8000000
2026-06-11,6223.TW,旺矽,3.91,370000
2026-06-11,3017.TW,奇鋐,3.64,900000
2026-06-11,2345.TW,智邦,3.55,900000
2026-06-11,2308.TW,台達電,3.45,920000
2026-06-11,6669.TW,緯穎,3.4,400000
2026-06-11,5274.TW,信驊,3.36,110000
2026-06-11,7769.TW,鴻勁,3.3,270000
2026-06-11,6274.TW,台燿,3.27,1280000
2026-06-11,2059.TW,川湖,2.61,235000
2026-06-11,3189.TW,景碩,2.25,2100000
2026-06-11,8046.TW,南電,2.24,1600000
2026-06-11,3042.TW,晶技,2.12,5200000
2026-06-11,3665.TW,貿聯-KY,2.06,550000
2026-06-11,2368.TW,金像電,2.05,880000
2026-06-11,8210.TW,勤誠,2.0,800000
2026-06-11,8996.TW,高力,1.86,940000
2026-06-11,6805.TW,富世達,1.64,540000
2026-06-11,6515.TW,穎崴,0.02,1000
2026-06-11,3711.TW,日月光投控,0.01,9000
2026-06-11,3653.TW,健策,0.01,1000
2026-06-11,2382.TW,廣達,0.01,9000
2026-06-11,6510.TW,精測,0.01,1000
2026-06-11,2360.TW,致茂,0.0,1000
2026-06-11,2313.TW,華通,0.0,9000
2026-06-11,2317.TW,鴻海,0.0,9000
2026-06-11,2449.TW,京元電子,0.0,9000
2026-06-11,2603.TW,長榮,0.0,9000
2026-06-11,5347.TW,世界,0.0,9000
2026-06-11,2881.TW,富邦金,0.0,9000
2026-06-11,2882.TW,國泰金,0.0,9000
2026-06-11,3231.TW,緯創,0.0,9000
2026-06-11,3324.TW,雙鴻,0.0,1000
2026-06-11,2337.TW,旺宏,0.0,9000
2026-06-11,2344.TW,華邦電,0.0,9000
2026-06-11,2404.TW,漢唐,0.0,1000
2026-06-11,1519.TW,華城,0.0,1000
2026-06-11,2885.TW,元大金,0.0,9000
2026-06-11,2891.TW,中信金,0.0,9000
2026-06-11,3044.TW,健鼎,0.0,1000
2026-06-11,3045.TW,台灣大,0.0,1000
2026-06-11,3036.TW,文曄,0.0,1000
2026-06-11,1303.TW,南亞,0.0,1000
2026-06-11,2412.TW,中華電,0.0,1000
