date,symbol,name,weight_percent,shares
2026-06-18,2330.TW,台積電,12.74,3400000
2026-06-18,2327.TW,國巨*,10.32,6150000
2026-06-18,2383.TW,台光電,7.4,850000
2026-06-18,2408.TW,南亞科,5.93,8300000
2026-06-18,8299.TW,群聯,5.62,1430000
2026-06-18,2454.TW,聯發科,5.05,740000
2026-06-18,3037.TW,欣興,4.81,3200000
2026-06-18,6274.TW,台燿,3.85,1350000
2026-06-18,6223.TW,旺矽,3.69,370000
2026-06-18,2345.TW,智邦,3.41,900000
2026-06-18,5274.TW,信驊,3.24,110000
2026-06-18,2059.TW,川湖,2.99,280000
2026-06-18,7769.TW,鴻勁,2.93,270000
2026-06-18,2308.TW,台達電,2.67,800000
2026-06-18,8996.TW,高力,2.32,940000
2026-06-18,3017.TW,奇鋐,2.24,600000
2026-06-18,3189.TW,景碩,2.14,1900000
2026-06-18,4958.TW,臻鼎-KY,2.0,2000000
2026-06-18,6669.TW,緯穎,1.99,250000
2026-06-18,8046.TW,南電,1.97,1450000
2026-06-18,2303.TW,聯電,1.92,8500000
2026-06-18,2492.TW,華新科,1.92,2200000
2026-06-18,2368.TW,金像電,1.85,880000
2026-06-18,3665.TW,貿聯-KY,1.8,550000
2026-06-18,3042.TW,晶技,1.75,5200000
2026-06-18,8210.TW,勤誠,1.7,800000
2026-06-18,6515.TW,穎崴,0.02,1000
2026-06-18,3711.TW,日月光投控,0.01,9000
2026-06-18,3653.TW,健策,0.01,1000
2026-06-18,6510.TW,精測,0.01,1000
2026-06-18,2382.TW,廣達,0.01,9000
2026-06-18,2360.TW,致茂,0.0,1000
2026-06-18,2313.TW,華通,0.0,9000
2026-06-18,2317.TW,鴻海,0.0,9000
2026-06-18,2449.TW,京元電子,0.0,9000
2026-06-18,2344.TW,華邦電,0.0,9000
2026-06-18,2603.TW,長榮,0.0,9000
2026-06-18,2881.TW,富邦金,0.0,9000
2026-06-18,2882.TW,國泰金,0.0,9000
2026-06-18,3231.TW,緯創,0.0,9000
2026-06-18,3324.TW,雙鴻,0.0,1000
2026-06-18,2337.TW,旺宏,0.0,9000
2026-06-18,2404.TW,漢唐,0.0,1000
2026-06-18,5347.TW,世界,0.0,9000
2026-06-18,1519.TW,華城,0.0,1000
2026-06-18,3044.TW,健鼎,0.0,1000
2026-06-18,2885.TW,元大金,0.0,9000
2026-06-18,2891.TW,中信金,0.0,9000
2026-06-18,3036.TW,文曄,0.0,1000
2026-06-18,2412.TW,中華電,0.0,1000
