date,symbol,name,weight_percent,shares
2026-08-27,2330.TW,台積電,9.87,11884000
2026-08-27,2383.TW,台光電,9.11,4807000
2026-08-27,3037.TW,欣興,8.25,20300000
2026-08-27,3017.TW,奇鋐,6.88,5979000
2026-08-27,2454.TW,聯發科,6.85,5148000
2026-08-27,6669.TW,緯穎,5.23,2226000
2026-08-27,2327.TW,國巨*,4.85,25387000
2026-08-27,2345.TW,智邦,4.73,6564000
2026-08-27,3653.TW,健策,4.68,2407000
2026-08-27,2308.TW,台達電,4.42,7250000
2026-08-27,6223.TW,旺矽,4.36,2486000
2026-08-27,8046.TW,南電,4.29,9624000
2026-08-27,3711.TW,日月光投控,4.06,19479000
2026-08-27,2303.TW,聯電,3.65,89518000
2026-08-27,3665.TW,貿聯-KY,3.31,4671848
2026-08-27,6274.TW,台燿,2.74,5498000
2026-08-27,5274.TW,"台指期貨 2026/09(FITXN*1.TF)2.15679
			
				信驊",1.8,341900
2026-08-27,6805.TW,富世達,1.74,2264000
2026-08-27,2449.TW,京元電子,1.0,11775450
2026-08-27,8210.TW,勤誠,0.82,2477000
2026-08-27,2368.TW,金像電,0.69,1957000
2026-08-27,4979.TW,華星光,0.67,3173000
2026-08-27,3443.TW,創意,0.66,325000
2026-08-27,8996.TW,高力,0.59,1301000
2026-08-27,6510.TW,精測,0.45,477000
2026-08-27,3264.TW,欣銓,0.45,5917000
2026-08-27,4958.TW,臻鼎-KY,0.27,1645000
2026-08-27,6278.TW,台表科,0.23,3249000
2026-08-27,6271.TW,同欣電,0.16,2223000
2026-08-27,6187.TW,萬潤,0.14,283000
2026-08-27,3376.TW,新日興,0.13,1741000
2026-08-27,6191.TW,精成科,0.11,3988000
2026-08-27,4966.TW,譜瑞-KY,0.03,140000
2026-08-27,2002.TW,中鋼,0.03,5163000
2026-08-27,1590.TW,亞德客-KY,0.0,1000
2026-08-27,2313.TW,華通,0.0,1000
2026-08-27,2317.TW,鴻海,0.0,1000
2026-08-27,2360.TW,致茂,0.0,1000
2026-08-27,2382.TW,廣達,0.0,1000
2026-08-27,2408.TW,南亞科,0.0,1000
2026-08-27,2439.TW,美律,0.0,1000
2026-08-27,2481.TW,強茂,0.0,5000
2026-08-27,2637.TW,慧洋-KY,0.0,1000
2026-08-27,3008.TW,大立光,0.0,1000
2026-08-27,5347.TW,世界,0.0,1000
2026-08-27,3661.TW,世芯-KY,0.0,1000
2026-08-27,6488.TW,環球晶,0.0,1000
2026-08-27,6515.TW,穎崴,0.0,1000
2026-08-27,8150.TW,南茂,0.0,1000
2026-08-27,8358.TW,金居,0.0,1000
