date,symbol,name,weight_percent,shares
2026-06-03,2330.TW,台積電,9.97,11960000
2026-06-03,2383.TW,台光電,7.45,4486000
2026-06-03,2454.TW,聯發科,6.66,4263000
2026-06-03,2308.TW,台達電,5.55,6572000
2026-06-03,2345.TW,智邦,5.54,6231000
2026-06-03,2327.TW,國巨*,5.16,18313000
2026-06-03,3017.TW,奇鋐,5.09,5191000
2026-06-03,6669.TW,緯穎,4.69,2437000
2026-06-03,6223.TW,旺矽,4.4,2169000
2026-06-03,3037.TW,欣興,4.29,12466000
2026-06-03,3711.TW,日月光投控,3.81,17948000
2026-06-03,3665.TW,貿聯-KY,3.73,4703848
2026-06-03,2368.TW,金像電,3.7,7769000
2026-06-03,8046.TW,南電,3.36,10828000
2026-06-03,2303.TW,聯電,3.22,71690000
2026-06-03,3653.TW,健策,3.04,2267000
2026-06-03,5274.TW,信驊,2.61,422000
2026-06-03,6274.TW,台燿,2.56,4400000
2026-06-03,6805.TW,富世達,1.26,1761000
2026-06-03,6515.TW,穎崴,1.25,442000
2026-06-03,8210.TW,勤誠,1.08,2167000
2026-06-03,6510.TW,精測,1.06,930000
2026-06-03,2317.TW,鴻海,0.78,7307000
2026-06-03,2382.TW,廣達,0.78,5441000
2026-06-03,3533.TW,嘉澤,0.75,852000
2026-06-03,6147.TW,頎邦,0.55,5775000
2026-06-03,6187.TW,萬潤,0.49,1334000
2026-06-03,2404.TW,漢唐,0.48,1200000
2026-06-03,3008.TW,大立光,0.45,329000
2026-06-03,5439.TW,高技,0.45,3528000
2026-06-03,4966.TW,譜瑞-KY,0.45,1642000
2026-06-03,2449.TW,京元電子,0.4,3645000
2026-06-03,8996.TW,高力,0.39,1034000
2026-06-03,8150.TW,南茂,0.38,11635000
2026-06-03,6278.TW,台表科,0.27,3734000
2026-06-03,3443.TW,創意,0.26,167000
2026-06-03,1590.TW,亞德客-KY,0.25,530000
2026-06-03,8358.TW,金居,0.21,980000
2026-06-03,6191.TW,精成科,0.14,3988000
2026-06-03,3376.TW,新日興,0.14,1741000
2026-06-03,6271.TW,同欣電,0.06,686000
2026-06-03,2002.TW,中鋼,0.03,5163000
2026-06-03,2313.TW,華通,0.03,329000
2026-06-03,1319.TW,東陽,0.02,511000
2026-06-03,1815.TW,富喬,0.0,107000
2026-06-03,2439.TW,美律,0.0,18000
2026-06-03,2357.TW,華碩,0.0,1000
2026-06-03,3264.TW,欣銓,0.0,1000
2026-06-03,2481.TW,強茂,0.0,5000
2026-06-03,3661.TW,世芯-KY,0.0,1000
2026-06-03,5347.TW,世界,0.0,1000
