date,symbol,name,weight_percent,shares
2026-07-06,2330.TW,台積電,10.33,11960000
2026-07-06,2327.TW,國巨*,8.86,25098000
2026-07-06,2383.TW,台光電,8.62,4486000
2026-07-06,2454.TW,聯發科,7.3,5037000
2026-07-06,2345.TW,智邦,5.88,6334000
2026-07-06,6223.TW,旺矽,5.73,2382000
2026-07-06,2303.TW,聯電,5.04,86550000
2026-07-06,3037.TW,欣興,4.89,15203000
2026-07-06,3017.TW,奇鋐,4.87,5191000
2026-07-06,6669.TW,緯穎,4.27,2417000
2026-07-06,2368.TW,金像電,3.58,8315000
2026-07-06,2308.TW,台達電,3.54,5052000
2026-07-06,8046.TW,南電,3.38,8949000
2026-07-06,3665.TW,貿聯-KY,3.3,4833848
2026-07-06,3711.TW,日月光投控,3.04,12742000
2026-07-06,6274.TW,台燿,2.95,5160000
2026-07-06,3653.TW,健策,2.64,2267000
2026-07-06,5274.TW,信驊,2.17,379000
2026-07-06,8210.TW,勤誠,1.03,2267000
2026-07-06,6805.TW,富世達,1.0,1811000
2026-07-06,6515.TW,穎崴,0.71,226000
2026-07-06,6147.TW,頎邦,0.48,6275000
2026-07-06,6187.TW,萬潤,0.48,1334000
2026-07-06,6510.TW,精測,0.44,411000
2026-07-06,5439.TW,高技,0.43,3528000
2026-07-06,2449.TW,京元電子,0.42,3427000
2026-07-06,6278.TW,台表科,0.31,4334000
2026-07-06,6271.TW,同欣電,0.28,2966000
2026-07-06,1590.TW,亞德客-KY,0.26,528000
2026-07-06,6191.TW,精成科,0.15,3988000
2026-07-06,3264.TW,欣銓,0.14,1508000
2026-07-06,3376.TW,新日興,0.12,1741000
2026-07-06,4966.TW,譜瑞-KY,0.03,140000
2026-07-06,2002.TW,中鋼,0.03,5163000
2026-07-06,6488.TW,環球晶,0.02,50000
