date,symbol,name,weight_percent,shares
2026-07-02,2330.TW,台積電,10.0,11960000
2026-07-02,2327.TW,國巨*,8.98,25098000
2026-07-02,2383.TW,台光電,8.6,4486000
2026-07-02,2454.TW,聯發科,7.42,5037000
2026-07-02,2345.TW,智邦,5.91,6334000
2026-07-02,6223.TW,旺矽,5.86,2382000
2026-07-02,3037.TW,欣興,5.05,15203000
2026-07-02,2303.TW,聯電,4.86,86550000
2026-07-02,3017.TW,奇鋐,4.82,5191000
2026-07-02,6669.TW,緯穎,4.26,2417000
2026-07-02,2308.TW,台達電,3.75,5614000
2026-07-02,2368.TW,金像電,3.48,8315000
2026-07-02,8046.TW,南電,3.47,8949000
2026-07-02,3665.TW,貿聯-KY,3.34,4833848
2026-07-02,3711.TW,日月光投控,3.14,12742000
2026-07-02,6274.TW,台燿,2.96,5160000
2026-07-02,3653.TW,健策,2.67,2267000
2026-07-02,5274.TW,信驊,2.28,379000
2026-07-02,6805.TW,富世達,1.03,1811000
2026-07-02,8210.TW,勤誠,1.01,2267000
2026-07-02,6515.TW,穎崴,0.8,252000
2026-07-02,6510.TW,精測,0.5,457000
2026-07-02,6147.TW,頎邦,0.45,6275000
2026-07-02,6187.TW,萬潤,0.45,1334000
2026-07-02,2449.TW,京元電子,0.45,3808000
2026-07-02,5439.TW,高技,0.42,3528000
2026-07-02,6278.TW,台表科,0.32,4334000
2026-07-02,6271.TW,同欣電,0.27,2966000
2026-07-02,1590.TW,亞德客-KY,0.25,530000
2026-07-02,3533.TW,嘉澤,0.21,291000
2026-07-02,6191.TW,精成科,0.15,3988000
2026-07-02,3264.TW,欣銓,0.13,1508000
2026-07-02,3376.TW,新日興,0.11,1741000
2026-07-02,4966.TW,譜瑞-KY,0.03,140000
2026-07-02,2002.TW,中鋼,0.03,5163000
2026-07-02,6488.TW,環球晶,0.02,50000
