date,symbol,name,weight_percent,shares
2026-08-07,2330.TW,台積電,9.63,12134000
2026-08-07,2383.TW,台光電,8.53,4863000
2026-08-07,2454.TW,聯發科,7.11,5448000
2026-08-07,3037.TW,欣興,6.46,20210000
2026-08-07,6669.TW,緯穎,5.53,2708000
2026-08-07,3017.TW,奇鋐,5.41,5801000
2026-08-07,6223.TW,旺矽,4.99,2443000
2026-08-07,2345.TW,智邦,4.76,6419000
2026-08-07,2327.TW,國巨*,4.6,25437000
2026-08-07,2308.TW,台達電,3.7,6706000
2026-08-07,3653.TW,健策,3.48,2375000
2026-08-07,8046.TW,南電,3.44,9519000
2026-08-07,3711.TW,日月光投控,3.42,17439000
2026-08-07,2303.TW,聯電,3.41,87718000
2026-08-07,3665.TW,貿聯-KY,3.4,4616848
2026-08-07,6274.TW,台燿,2.65,5499000
2026-08-07,5274.TW,信驊,2.49,454900
2026-08-07,2368.TW,金像電,1.64,5000000
2026-08-07,6805.TW,富世達,1.15,2053000
2026-08-07,8210.TW,勤誠,0.93,2497000
2026-08-07,2449.TW,京元電子,0.92,11295450
2026-08-07,6187.TW,萬潤,0.5,1334000
2026-08-07,2360.TW,致茂,0.39,572000
2026-08-07,4979.TW,華星光,0.31,1874000
2026-08-07,4958.TW,臻鼎-KY,0.27,1682000
2026-08-07,1590.TW,亞德客-KY,0.27,528000
2026-08-07,8996.TW,高力,0.25,712000
2026-08-07,6510.TW,精測,0.24,261000
2026-08-07,6278.TW,台表科,0.17,3250000
2026-08-07,2408.TW,南亞科,0.14,940000
2026-08-07,6271.TW,同欣電,0.14,2224000
2026-08-07,6191.TW,精成科,0.11,3988000
2026-08-07,3376.TW,新日興,0.11,1741000
2026-08-07,3264.TW,欣銓,0.1,1508000
2026-08-07,6515.TW,穎崴,0.05,23000
2026-08-07,4966.TW,譜瑞-KY,0.03,140000
2026-08-07,2002.TW,中鋼,0.03,5163000
2026-08-07,2313.TW,華通,0.0,1000
2026-08-07,2317.TW,鴻海,0.0,1000
2026-08-07,2439.TW,美律,0.0,1000
2026-08-07,2382.TW,廣達,0.0,1000
2026-08-07,2481.TW,強茂,0.0,5000
2026-08-07,3008.TW,大立光,0.0,1000
2026-08-07,3661.TW,世芯-KY,0.0,1000
2026-08-07,3443.TW,創意,0.0,1000
2026-08-07,3533.TW,嘉澤,0.0,1000
2026-08-07,5347.TW,世界,0.0,1000
2026-08-07,6488.TW,環球晶,0.0,1000
2026-08-07,8150.TW,南茂,0.0,1000
2026-08-07,8358.TW,金居,0.0,1000
