date,symbol,name,previous_shares,current_shares,change_shares,previous_weight_percent,current_weight_percent,status
2026-06-08,1319.TW,東陽,511000,511000,0,0.02,0.02,unchanged
2026-06-08,1590.TW,亞德客-KY,530000,530000,0,0.25,0.25,unchanged
2026-06-08,1815.TW,富喬,107000,107000,0,0.0,0.0,unchanged
2026-06-08,2002.TW,中鋼,5163000,5163000,0,0.04,0.04,unchanged
2026-06-08,2303.TW,聯電,71690000,71690000,0,3.37,3.17,unchanged
2026-06-08,2308.TW,台達電,6572000,6572000,0,5.4,5.41,unchanged
2026-06-08,2313.TW,華通,329000,329000,0,0.03,0.03,unchanged
2026-06-08,2317.TW,鴻海,7307000,7307000,0,0.74,0.72,unchanged
2026-06-08,2327.TW,國巨*,18313000,18313000,0,5.03,5.03,unchanged
2026-06-08,2330.TW,台積電,11960000,11960000,0,10.11,10.03,unchanged
2026-06-08,2345.TW,智邦,6334000,6334000,0,5.63,5.6,unchanged
2026-06-08,2368.TW,金像電,7769000,7949000,180000,3.65,3.95,increased
2026-06-08,2382.TW,廣達,5441000,5441000,0,0.76,0.75,unchanged
2026-06-08,2383.TW,台光電,4486000,4486000,0,7.83,7.82,unchanged
2026-06-08,2404.TW,漢唐,1200000,1200000,0,0.52,0.49,unchanged
2026-06-08,2439.TW,美律,18000,18000,0,0.0,0.0,unchanged
2026-06-08,2449.TW,京元電子,3645000,3645000,0,0.4,0.38,unchanged
2026-06-08,2454.TW,聯發科,4263000,4405000,142000,6.55,6.55,increased
2026-06-08,2481.TW,強茂,5000,5000,0,0.0,0.0,unchanged
2026-06-08,3008.TW,大立光,1000,1000,0,0.0,0.0,unchanged
2026-06-08,3017.TW,奇鋐,5191000,5191000,0,4.82,4.87,unchanged
2026-06-08,3037.TW,欣興,12466000,12466000,0,4.16,4.15,unchanged
2026-06-08,3264.TW,欣銓,1000,1000,0,0.0,0.0,unchanged
2026-06-08,3376.TW,新日興,1741000,1741000,0,0.15,0.15,unchanged
2026-06-08,3443.TW,創意,167000,167000,0,0.26,0.26,unchanged
2026-06-08,3533.TW,嘉澤,852000,852000,0,0.72,0.71,unchanged
2026-06-08,3653.TW,健策,2267000,2267000,0,2.93,3.16,unchanged
2026-06-08,3661.TW,世芯-KY,1000,1000,0,0.0,0.0,unchanged
2026-06-08,3665.TW,貿聯-KY,4703848,4703848,0,3.7,3.6,unchanged
2026-06-08,3711.TW,日月光投控,17948000,17948000,0,3.7,3.54,unchanged
2026-06-08,4966.TW,譜瑞-KY,1642000,1642000,0,0.43,0.4,unchanged
2026-06-08,5274.TW,信驊,422000,422000,0,2.64,2.7,unchanged
2026-06-08,5347.TW,世界,1000,1000,0,0.0,0.0,unchanged
2026-06-08,5439.TW,高技,3528000,3528000,0,0.46,0.46,unchanged
2026-06-08,6147.TW,頎邦,5775000,5775000,0,0.56,0.51,unchanged
2026-06-08,6187.TW,萬潤,1334000,1334000,0,0.53,0.53,unchanged
2026-06-08,6191.TW,精成科,3988000,3988000,0,0.14,0.14,unchanged
2026-06-08,6223.TW,旺矽,2169000,2169000,0,4.47,4.37,unchanged
2026-06-08,6271.TW,同欣電,686000,686000,0,0.06,0.05,unchanged
2026-06-08,6274.TW,台燿,4400000,4400000,0,2.53,2.47,unchanged
2026-06-08,6278.TW,台表科,3734000,3734000,0,0.28,0.27,unchanged
2026-06-08,6510.TW,精測,930000,930000,0,1.1,1.21,unchanged
2026-06-08,6515.TW,穎崴,442000,442000,0,1.33,1.35,unchanged
2026-06-08,6669.TW,緯穎,2492000,2492000,0,5.04,4.8,unchanged
2026-06-08,6805.TW,富世達,1761000,1761000,0,1.23,1.22,unchanged
2026-06-08,8046.TW,南電,10828000,10828000,0,3.27,3.29,unchanged
2026-06-08,8150.TW,南茂,11635000,11635000,0,0.4,0.37,unchanged
2026-06-08,8210.TW,勤誠,2167000,2167000,0,1.06,1.09,unchanged
2026-06-08,8358.TW,金居,980000,980000,0,0.21,0.21,unchanged
2026-06-08,8996.TW,高力,1034000,1034000,0,0.42,0.46,unchanged
