date,symbol,name,weight_percent,shares
2026-06-25,2330.TW,台積電,9.76,11960000
2026-06-25,2327.TW,國巨*,9.64,25098000
2026-06-25,2383.TW,台光電,8.64,4486000
2026-06-25,2454.TW,聯發科,7.42,5037000
2026-06-25,6223.TW,旺矽,5.55,2352000
2026-06-25,2303.TW,聯電,5.28,86550000
2026-06-25,2345.TW,智邦,5.15,6334000
2026-06-25,3037.TW,欣興,5.13,14735000
2026-06-25,3017.TW,奇鋐,4.44,5191000
2026-06-25,2308.TW,台達電,3.8,5614000
2026-06-25,6669.TW,緯穎,3.75,2417000
2026-06-25,2368.TW,金像電,3.52,8315000
2026-06-25,8046.TW,南電,3.18,8917000
2026-06-25,3665.TW,貿聯-KY,3.17,4833848
2026-06-25,3711.TW,日月光投控,3.1,14158000
2026-06-25,6274.TW,台燿,2.94,5058000
2026-06-25,3653.TW,健策,2.62,2267000
2026-06-25,5274.TW,信驊,2.26,379000
2026-06-25,6510.TW,精測,1.09,930000
2026-06-25,6805.TW,富世達,1.08,1811000
2026-06-25,8210.TW,勤誠,0.99,2267000
2026-06-25,6515.TW,穎崴,0.97,313000
2026-06-25,2449.TW,京元電子,0.74,6484000
2026-06-25,3533.TW,嘉澤,0.65,852000
2026-06-25,2317.TW,鴻海,0.64,7307000
2026-06-25,6147.TW,頎邦,0.52,6275000
2026-06-25,6187.TW,萬潤,0.5,1334000
2026-06-25,5439.TW,高技,0.39,3528000
2026-06-25,4966.TW,譜瑞-KY,0.37,1642000
2026-06-25,6278.TW,台表科,0.3,4334000
2026-06-25,6271.TW,同欣電,0.28,2966000
2026-06-25,1590.TW,亞德客-KY,0.25,530000
2026-06-25,8358.TW,金居,0.21,980000
2026-06-25,8996.TW,高力,0.18,354000
2026-06-25,6191.TW,精成科,0.14,3988000
2026-06-25,6488.TW,環球晶,0.12,350000
2026-06-25,3264.TW,欣銓,0.12,1508000
2026-06-25,3376.TW,新日興,0.12,1741000
2026-06-25,2002.TW,中鋼,0.03,5163000
