date,symbol,name,previous_shares,current_shares,change_shares,previous_weight_percent,current_weight_percent,status
2026-09-24,1303.TW,南亞,13500000,10000000,-3500000,2.01,1.6,decreased
2026-09-24,1560.TW,中砂,191000,191000,0,0.12,0.12,unchanged
2026-09-24,1717.TW,長興,900000,900000,0,0.04,0.04,unchanged
2026-09-24,2049.TW,上銀,1000,1000,0,0.0,0.0,unchanged
2026-09-24,2059.TW,川湖,75000,75000,0,0.61,0.62,unchanged
2026-09-24,2301.TW,光寶科,300000,300000,0,0.06,0.06,unchanged
2026-09-24,2303.TW,聯電,60000000,52000000,-8000000,6.28,5.38,decreased
2026-09-24,2308.TW,台達電,2900000,2900000,0,3.6,3.72,unchanged
2026-09-24,2317.TW,鴻海,3200000,3200000,0,0.54,0.54,unchanged
2026-09-24,2327.TW,國巨*,8000000,8000000,0,3.0,3.12,unchanged
2026-09-24,2330.TW,台積電,8400000,7700000,-700000,13.73,12.81,decreased
2026-09-24,2337.TW,旺宏,1000,1000,0,0.0,0.0,unchanged
2026-09-24,2344.TW,華邦電,1000,1000,0,0.0,0.0,unchanged
2026-09-24,2345.TW,智邦,1900000,1900000,0,2.35,2.42,unchanged
2026-09-24,2360.TW,致茂,470000,310000,-160000,0.71,0.48,decreased
2026-09-24,2383.TW,台光電,1600000,1400000,-200000,5.25,4.75,decreased
2026-09-24,2404.TW,漢唐,1000,1000,0,0.0,0.0,unchanged
2026-09-24,2408.TW,南亞科,2800000,2800000,0,0.94,0.95,unchanged
2026-09-24,2449.TW,京元電子,4000000,4000000,0,0.8,0.84,unchanged
2026-09-24,2454.TW,聯發科,2210000,2210000,0,7.49,7.85,unchanged
2026-09-24,2455.TW,全新,386000,386000,0,0.14,0.14,unchanged
2026-09-24,2481.TW,強茂,3000000,3000000,0,0.34,0.35,unchanged
2026-09-24,2882.TW,國泰金,4000000,4000000,0,0.29,0.3,unchanged
2026-09-24,3008.TW,大立光,280000,280000,0,1.13,1.18,unchanged
2026-09-24,3017.TW,奇鋐,2850000,2850000,0,6.47,6.81,unchanged
2026-09-24,3037.TW,欣興,8460000,8460000,0,6.42,6.74,unchanged
2026-09-24,3189.TW,景碩,4000000,4310000,310000,2.37,2.79,increased
2026-09-24,3211.TW,順達,2000000,2000000,0,0.5,0.51,unchanged
2026-09-24,3264.TW,欣銓,1000,1000,0,0.0,0.0,unchanged
2026-09-24,3443.TW,創意,646000,646000,0,3.54,3.7,unchanged
2026-09-24,3450.TW,聯鈞,1500000,1500000,0,0.51,0.52,unchanged
2026-09-24,3583.TW,辛耘,800000,800000,0,0.36,0.38,unchanged
2026-09-24,3653.TW,健策,1115000,1115000,0,4.67,5.19,unchanged
2026-09-24,3665.TW,貿聯-KY,1293000,1293000,0,1.98,2.03,unchanged
2026-09-24,3711.TW,日月光投控,1000,1000,0,0.0,0.0,unchanged
2026-09-24,5274.TW,信驊,95500,95500,0,1.27,1.27,unchanged
2026-09-24,6196.TW,帆宣,1000,1000,0,0.0,0.0,unchanged
2026-09-24,6223.TW,旺矽,1100000,1100000,0,4.04,4.0,unchanged
2026-09-24,6239.TW,力成,1000,1000,0,0.0,0.0,unchanged
2026-09-24,6274.TW,台燿,1900000,1900000,0,1.81,1.91,unchanged
2026-09-24,6285.TW,啟碁,350000,350000,0,0.05,0.06,unchanged
2026-09-24,6442.TW,光聖,350000,350000,0,0.35,0.36,unchanged
2026-09-24,6488.TW,環球晶,2800000,2800000,0,1.74,1.78,unchanged
2026-09-24,6669.TW,緯穎,1827956,1767956,-60000,2.52,2.51,decreased
2026-09-24,6805.TW,富世達,840000,840000,0,1.43,1.43,unchanged
2026-09-24,7769.TW,鴻勁,80000,1000,-79000,0.31,0.0,decreased
2026-09-24,8046.TW,南電,2770000,2900000,130000,2.19,2.42,increased
2026-09-24,8299.TW,群聯,1000,1000,0,0.0,0.0,unchanged
2026-09-24,8358.TW,金居,100000,100000,0,0.03,0.03,unchanged
2026-09-24,8996.TW,高力,1625000,1625000,0,1.64,1.67,unchanged
