date,symbol,name,previous_shares,current_shares,change_shares,previous_weight_percent,current_weight_percent,status
2026-06-26,1303.TW,南亞,7550000,7550000,0,0.67,0.67,unchanged
2026-06-26,1560.TW,中砂,800000,800000,0,0.33,0.34,unchanged
2026-06-26,2049.TW,上銀,1010000,1010000,0,0.19,0.19,unchanged
2026-06-26,2303.TW,聯電,75000000,75000000,0,7.65,7.41,unchanged
2026-06-26,2308.TW,台達電,2430000,2430000,0,2.75,2.65,unchanged
2026-06-26,2317.TW,鴻海,3200000,3200000,0,0.47,0.48,unchanged
2026-06-26,2327.TW,國巨*,10050000,10050000,0,6.46,6.15,unchanged
2026-06-26,2330.TW,台積電,12900000,12900000,0,17.62,18.19,unchanged
2026-06-26,2337.TW,旺宏,13850000,10000000,-3850000,1.28,0.98,decreased
2026-06-26,2344.TW,華邦電,38800000,38800000,0,4.87,4.83,unchanged
2026-06-26,2345.TW,智邦,2100000,2100000,0,2.86,3.01,unchanged
2026-06-26,2360.TW,致茂,450000,450000,0,0.56,0.55,unchanged
2026-06-26,2368.TW,金像電,3700000,3700000,0,2.62,2.65,unchanged
2026-06-26,2383.TW,台光電,1350000,1350000,0,4.35,4.28,unchanged
2026-06-26,2454.TW,聯發科,1435000,1435000,0,3.54,3.36,unchanged
2026-06-26,2455.TW,全新,450000,450000,0,0.1,0.09,unchanged
2026-06-26,3017.TW,奇鋐,3250000,3250000,0,4.65,4.42,unchanged
2026-06-26,3037.TW,欣興,8960000,8960000,0,5.22,5.27,unchanged
2026-06-26,3189.TW,景碩,1968000,2940000,972000,0.91,1.41,increased
2026-06-26,3211.TW,順達,1560000,1560000,0,0.36,0.37,unchanged
2026-06-26,3443.TW,創意,450000,450000,0,1.25,1.2,unchanged
2026-06-26,3529.TW,力旺,390000,390000,0,0.72,0.69,unchanged
2026-06-26,3533.TW,嘉澤,1240000,1240000,0,1.58,1.57,unchanged
2026-06-26,3583.TW,辛耘,900000,900000,0,0.44,0.44,unchanged
2026-06-26,3653.TW,健策,830000,830000,0,1.61,1.7,unchanged
2026-06-26,3665.TW,貿聯-KY,400000,250000,-150000,0.44,0.28,decreased
2026-06-26,3711.TW,日月光投控,4500000,4500000,0,1.65,1.71,unchanged
2026-06-26,4958.TW,臻鼎-KY,6440000,6440000,0,2.22,2.25,unchanged
2026-06-26,4966.TW,譜瑞-KY,900000,900000,0,0.34,0.33,unchanged
2026-06-26,4979.TW,華星光,500000,300000,-200000,0.14,0.08,decreased
2026-06-26,5274.TW,信驊,45000,45000,0,0.45,0.42,unchanged
2026-06-26,5347.TW,世界,9911000,9911000,0,1.25,1.21,unchanged
2026-06-26,6147.TW,頎邦,6000000,6000000,0,0.82,0.78,unchanged
2026-06-26,6196.TW,帆宣,1000000,1000000,0,0.32,0.32,unchanged
2026-06-26,6223.TW,旺矽,940000,940000,0,3.71,3.68,unchanged
2026-06-26,6274.TW,台燿,1700000,1700000,0,1.65,1.62,unchanged
2026-06-26,6415.TW,矽力*-KY,900000,900000,0,0.32,0.31,unchanged
2026-06-26,6442.TW,光聖,570000,322000,-248000,0.61,0.33,decreased
2026-06-26,6488.TW,環球晶,2000000,2000000,0,1.19,1.13,unchanged
2026-06-26,6515.TW,穎崴,200000,200000,0,1.04,0.99,unchanged
2026-06-26,6669.TW,緯穎,790000,790000,0,2.05,2.04,unchanged
2026-06-26,6805.TW,富世達,570000,570000,0,0.57,0.56,unchanged
2026-06-26,7769.TW,鴻勁,279000,279000,0,1.1,1.09,unchanged
2026-06-26,8046.TW,南電,795000,795000,0,0.47,0.54,unchanged
2026-06-26,8358.TW,金居,1950000,1950000,0,0.7,0.67,unchanged
2026-06-26,8996.TW,高力,1560000,1560000,0,1.3,1.29,unchanged
