date,symbol,name,previous_shares,current_shares,change_shares,previous_weight_percent,current_weight_percent,status
2026-07-23,1303.TW,南亞,10700000,10700000,0,1.32,1.25,unchanged
2026-07-23,1560.TW,中砂,750000,750000,0,0.31,0.31,unchanged
2026-07-23,2049.TW,上銀,1010000,1010000,0,0.19,0.19,unchanged
2026-07-23,2303.TW,聯電,76000000,76000000,0,6.25,6.24,unchanged
2026-07-23,2308.TW,台達電,2920000,3040000,120000,3.25,3.39,increased
2026-07-23,2317.TW,鴻海,3200000,3200000,0,0.48,0.49,unchanged
2026-07-23,2327.TW,國巨*,6000000,6000000,0,2.5,2.48,unchanged
2026-07-23,2330.TW,台積電,12200000,11600000,-600000,17.34,16.55,decreased
2026-07-23,2337.TW,旺宏,10000000,10000000,0,0.8,0.77,unchanged
2026-07-23,2344.TW,華邦電,40000000,40000000,0,4.05,3.82,unchanged
2026-07-23,2345.TW,智邦,2260000,2260000,0,3.06,3.12,unchanged
2026-07-23,2360.TW,致茂,760000,760000,0,0.96,0.97,unchanged
2026-07-23,2368.TW,金像電,2060000,2060000,0,1.15,1.15,unchanged
2026-07-23,2383.TW,台光電,1330000,1330000,0,4.04,4.02,unchanged
2026-07-23,2404.TW,漢唐,180000,180000,0,0.13,0.12,unchanged
2026-07-23,2454.TW,聯發科,1730000,1730000,0,3.94,3.98,unchanged
2026-07-23,2455.TW,全新,336000,336000,0,0.06,0.07,unchanged
2026-07-23,3008.TW,大立光,60000,60000,0,0.14,0.15,unchanged
2026-07-23,3017.TW,奇鋐,3450000,3450000,0,4.63,4.99,unchanged
2026-07-23,3037.TW,欣興,7530000,7600000,70000,4.04,4.04,increased
2026-07-23,3189.TW,景碩,3217000,3217000,0,1.52,1.5,unchanged
2026-07-23,3211.TW,順達,2000000,2000000,0,0.47,0.46,unchanged
2026-07-23,3264.TW,欣銓,600000,600000,0,0.08,0.08,unchanged
2026-07-23,3443.TW,創意,510000,510000,0,1.32,1.32,unchanged
2026-07-23,3533.TW,嘉澤,1240000,1240000,0,1.48,1.5,unchanged
2026-07-23,3583.TW,辛耘,900000,900000,0,0.41,0.41,unchanged
2026-07-23,3653.TW,健策,874000,931000,57000,1.81,2.05,increased
2026-07-23,3665.TW,貿聯-KY,490000,600000,110000,0.61,0.81,increased
2026-07-23,3711.TW,日月光投控,6400000,6400000,0,2.49,2.46,unchanged
2026-07-23,4958.TW,臻鼎-KY,6934000,6154000,-780000,2.3,1.85,decreased
2026-07-23,4966.TW,譜瑞-KY,800000,800000,0,0.29,0.29,unchanged
2026-07-23,5274.TW,信驊,109500,124500,15000,1.01,1.15,increased
2026-07-23,6223.TW,旺矽,1000000,1000000,0,3.55,3.71,unchanged
2026-07-23,6239.TW,力成,1900000,2350000,450000,0.33,0.41,increased
2026-07-23,6274.TW,台燿,1680000,1680000,0,1.35,1.33,unchanged
2026-07-23,6285.TW,啟碁,250000,250000,0,0.04,0.04,unchanged
2026-07-23,6415.TW,矽力*-KY,900000,900000,0,0.26,0.25,unchanged
2026-07-23,6442.TW,光聖,225000,225000,0,0.18,0.19,unchanged
2026-07-23,6488.TW,環球晶,2350000,2350000,0,1.73,1.56,unchanged
2026-07-23,6515.TW,穎崴,149000,149000,0,0.57,0.58,unchanged
2026-07-23,6669.TW,緯穎,790000,600000,-190000,2.57,1.95,decreased
2026-07-23,6805.TW,富世達,620000,700000,80000,0.51,0.6,increased
2026-07-23,7769.TW,鴻勁,300000,300000,0,1.14,1.15,unchanged
2026-07-23,8046.TW,南電,1750000,1750000,0,1.35,1.28,unchanged
2026-07-23,8358.TW,金居,1750000,1750000,0,0.43,0.42,unchanged
2026-07-23,8996.TW,高力,1600000,1600000,0,1.02,1.02,unchanged
