date,symbol,name,weight_percent,shares
2026-05-12,2330.TW,台積電,9.63,11657000
2026-05-12,2383.TW,台光電,8.27,4605000
2026-05-12,2454.TW,聯發科,6.05,4463000
2026-05-12,2345.TW,智邦,5.76,6231000
2026-05-12,2308.TW,台達電,5.29,6572000
2026-05-12,6669.TW,緯穎,4.87,2294000
2026-05-12,3665.TW,貿聯-KY,4.78,4703848
2026-05-12,2368.TW,金像電,4.21,8260000
2026-05-12,6223.TW,旺矽,4.18,2084000
2026-05-12,8046.TW,南電,4.17,12658000
2026-05-12,3017.TW,奇鋐,4.13,4468000
2026-05-12,3037.TW,欣興,3.47,10822000
2026-05-12,3653.TW,健策,3.26,2267000
2026-05-12,5274.TW,信驊,3.19,483000
2026-05-12,3711.TW,日月光投控,3.05,14998000
2026-05-12,2327.TW,國巨*,2.65,17221000
2026-05-12,6274.TW,台燿,2.21,4151000
2026-05-12,2303.TW,聯電,1.78,46374000
2026-05-12,6515.TW,穎崴,1.61,442000
2026-05-12,3443.TW,創意,1.56,764000
2026-05-12,2449.TW,京元電子,1.42,12919000
2026-05-12,6510.TW,精測,1.32,930000
2026-05-12,6805.TW,富世達,1.19,1761000
2026-05-12,8210.TW,勤誠,1.12,1967000
2026-05-12,3264.TW,欣銓,0.76,9030000
2026-05-12,3661.TW,世芯-KY,0.58,296000
2026-05-12,6187.TW,萬潤,0.55,1224000
2026-05-12,2404.TW,漢唐,0.51,1394000
2026-05-12,2357.TW,華碩,0.49,1996000
2026-05-12,5439.TW,高技,0.45,3228000
2026-05-12,8996.TW,高力,0.4,1034000
2026-05-12,2313.TW,華通,0.39,4124000
2026-05-12,8150.TW,南茂,0.36,11334000
2026-05-12,8358.TW,金居,0.35,1980000
2026-05-12,2317.TW,鴻海,0.33,3612000
2026-05-12,1590.TW,亞德客-KY,0.3,530000
2026-05-12,4966.TW,譜瑞-KY,0.29,1036000
2026-05-12,3008.TW,大立光,0.16,159000
2026-05-12,6415.TW,矽力*-KY,0.16,940000
2026-05-12,2481.TW,強茂,0.15,3654000
2026-05-12,6191.TW,精成科,0.14,3988000
2026-05-12,3376.TW,新日興,0.13,1741000
2026-05-12,3036.TW,文曄,0.12,1200000
2026-05-12,3217.TW,優群,0.06,874000
2026-05-12,2002.TW,中鋼,0.03,5163000
2026-05-12,1319.TW,東陽,0.01,511000
2026-05-12,1815.TW,富喬,0.0,107000
2026-05-12,2337.TW,旺宏,0.0,8000
2026-05-12,2439.TW,美律,0.0,18000
2026-05-12,5347.TW,世界,0.0,1000
2026-05-12,6147.TW,頎邦,0.0,1000
