date,symbol,name,weight_percent,shares
2026-06-09,2330.TW,台積電,9.63,11960000
2026-06-09,2383.TW,台光電,7.94,4486000
2026-06-09,2454.TW,聯發科,7.27,4649000
2026-06-09,2308.TW,台達電,5.55,6572000
2026-06-09,2345.TW,智邦,5.48,6334000
2026-06-09,2327.TW,國巨*,5.29,18313000
2026-06-09,3017.TW,奇鋐,4.62,5191000
2026-06-09,6669.TW,緯穎,4.62,2492000
2026-06-09,6223.TW,旺矽,4.46,2169000
2026-06-09,2368.TW,金像電,4.34,8315000
2026-06-09,3037.TW,欣興,4.22,12466000
2026-06-09,3711.TW,日月光投控,3.57,17948000
2026-06-09,3665.TW,貿聯-KY,3.54,4703848
2026-06-09,8046.TW,南電,3.46,10828000
2026-06-09,2303.TW,聯電,3.28,73690000
2026-06-09,3653.TW,健策,3.12,2267000
2026-06-09,5274.TW,信驊,2.63,422000
2026-06-09,6274.TW,台燿,2.62,4643000
2026-06-09,6515.TW,穎崴,1.33,442000
2026-06-09,6805.TW,富世達,1.2,1761000
2026-06-09,8210.TW,勤誠,1.2,2267000
2026-06-09,6510.TW,精測,1.1,930000
2026-06-09,2317.TW,鴻海,0.71,7307000
2026-06-09,3533.TW,嘉澤,0.7,852000
2026-06-09,6187.TW,萬潤,0.53,1334000
2026-06-09,6147.TW,頎邦,0.51,5775000
2026-06-09,2404.TW,漢唐,0.5,1200000
2026-06-09,8996.TW,高力,0.48,1034000
2026-06-09,5439.TW,高技,0.45,3528000
2026-06-09,4966.TW,譜瑞-KY,0.4,1642000
2026-06-09,8150.TW,南茂,0.39,11635000
2026-06-09,2449.TW,京元電子,0.37,3645000
2026-06-09,6278.TW,台表科,0.26,3734000
2026-06-09,3443.TW,創意,0.25,167000
2026-06-09,1590.TW,亞德客-KY,0.24,530000
2026-06-09,8358.TW,金居,0.21,980000
2026-06-09,6191.TW,精成科,0.14,3988000
2026-06-09,3376.TW,新日興,0.14,1741000
2026-06-09,2382.TW,廣達,0.06,422000
2026-06-09,6271.TW,同欣電,0.06,686000
2026-06-09,2002.TW,中鋼,0.03,5163000
2026-06-09,2313.TW,華通,0.03,329000
2026-06-09,1319.TW,東陽,0.02,511000
2026-06-09,1815.TW,富喬,0.0,107000
2026-06-09,2439.TW,美律,0.0,18000
2026-06-09,3661.TW,世芯-KY,0.0,1000
2026-06-09,3264.TW,欣銓,0.0,1000
2026-06-09,2481.TW,強茂,0.0,5000
2026-06-09,3008.TW,大立光,0.0,1000
2026-06-09,5347.TW,世界,0.0,1000
