date,symbol,name,weight_percent,shares
2026-05-13,2330.TW,台積電,9.68,11657000
2026-05-13,2383.TW,台光電,8.49,4605000
2026-05-13,2345.TW,智邦,5.68,6231000
2026-05-13,2454.TW,聯發科,5.57,4263000
2026-05-13,2308.TW,台達電,5.32,6572000
2026-05-13,6669.TW,緯穎,4.79,2294000
2026-05-13,3017.TW,奇鋐,4.65,4813000
2026-05-13,6223.TW,旺矽,4.64,2169000
2026-05-13,3665.TW,貿聯-KY,4.4,4703848
2026-05-13,8046.TW,南電,4.17,12658000
2026-05-13,3037.TW,欣興,3.61,10822000
2026-05-13,2368.TW,金像電,3.54,7018000
2026-05-13,5274.TW,信驊,3.22,483000
2026-05-13,3711.TW,日月光投控,3.07,14998000
2026-05-13,3653.TW,健策,2.99,2267000
2026-05-13,2327.TW,國巨*,2.88,18313000
2026-05-13,6274.TW,台燿,2.25,4151000
2026-05-13,2303.TW,聯電,1.71,46374000
2026-05-13,6515.TW,穎崴,1.63,442000
2026-05-13,3443.TW,創意,1.52,764000
2026-05-13,2449.TW,京元電子,1.47,12919000
2026-05-13,6510.TW,精測,1.31,930000
2026-05-13,6805.TW,富世達,1.21,1761000
2026-05-13,8210.TW,勤誠,1.12,1967000
2026-05-13,3264.TW,欣銓,0.78,9030000
2026-05-13,6187.TW,萬潤,0.56,1224000
2026-05-13,2404.TW,漢唐,0.53,1394000
2026-05-13,2357.TW,華碩,0.5,1996000
2026-05-13,5439.TW,高技,0.45,3228000
2026-05-13,8996.TW,高力,0.4,1034000
2026-05-13,2313.TW,華通,0.37,4124000
2026-05-13,8150.TW,南茂,0.36,11334000
2026-05-13,8358.TW,金居,0.34,1980000
2026-05-13,4966.TW,譜瑞-KY,0.31,1036000
2026-05-13,1590.TW,亞德客-KY,0.29,530000
2026-05-13,2481.TW,強茂,0.17,3654000
2026-05-13,3008.TW,大立光,0.17,159000
2026-05-13,3661.TW,世芯-KY,0.16,89000
2026-05-13,6415.TW,矽力*-KY,0.16,940000
2026-05-13,6191.TW,精成科,0.14,3988000
2026-05-13,3036.TW,文曄,0.13,1200000
2026-05-13,3376.TW,新日興,0.13,1741000
2026-05-13,3217.TW,優群,0.06,874000
2026-05-13,2002.TW,中鋼,0.04,5163000
2026-05-13,1319.TW,東陽,0.02,511000
2026-05-13,1815.TW,富喬,0.0,107000
2026-05-13,2317.TW,鴻海,0.0,1000
2026-05-13,2337.TW,旺宏,0.0,8000
2026-05-13,2439.TW,美律,0.0,18000
2026-05-13,6147.TW,頎邦,0.0,1000
2026-05-13,5347.TW,世界,0.0,1000
