date,symbol,name,weight_percent,shares
2026-05-21,2330.TW,台積電,9.93,11657000
2026-05-21,2383.TW,台光電,8.46,4723000
2026-05-21,2345.TW,智邦,5.9,6231000
2026-05-21,2454.TW,聯發科,5.78,4263000
2026-05-21,2308.TW,台達電,5.09,6572000
2026-05-21,6669.TW,緯穎,4.78,2344000
2026-05-21,3017.TW,奇鋐,4.69,4925000
2026-05-21,6223.TW,旺矽,4.68,2169000
2026-05-21,8046.TW,南電,4.21,12658000
2026-05-21,2327.TW,國巨*,4.0,18313000
2026-05-21,3665.TW,貿聯-KY,3.87,4703848
2026-05-21,3037.TW,欣興,3.74,10822000
2026-05-21,2368.TW,金像電,3.44,7018000
2026-05-21,2303.TW,聯電,2.93,66190000
2026-05-21,3711.TW,日月光投控,2.92,14998000
2026-05-21,3653.TW,健策,2.88,2267000
2026-05-21,5274.TW,信驊,2.65,422000
2026-05-21,6274.TW,台燿,2.1,4151000
2026-05-21,6515.TW,穎崴,1.6,442000
2026-05-21,2449.TW,京元電子,1.41,12919000
2026-05-21,6805.TW,富世達,1.22,1761000
2026-05-21,6510.TW,精測,1.19,930000
2026-05-21,8210.TW,勤誠,1.0,1967000
2026-05-21,3533.TW,嘉澤,0.74,772000
2026-05-21,2404.TW,漢唐,0.59,1394000
2026-05-21,3264.TW,欣銓,0.52,6217000
2026-05-21,5439.TW,高技,0.51,3528000
2026-05-21,6187.TW,萬潤,0.51,1224000
2026-05-21,3008.TW,大立光,0.43,329000
2026-05-21,8996.TW,高力,0.42,1034000
2026-05-21,2313.TW,華通,0.41,4124000
2026-05-21,8358.TW,金居,0.38,1980000
2026-05-21,8150.TW,南茂,0.33,11334000
2026-05-21,6278.TW,台表科,0.32,3734000
2026-05-21,4966.TW,譜瑞-KY,0.31,1036000
2026-05-21,1590.TW,亞德客-KY,0.29,530000
2026-05-21,6147.TW,頎邦,0.27,3201000
2026-05-21,6415.TW,矽力*-KY,0.22,1038000
2026-05-21,3443.TW,創意,0.19,96000
2026-05-21,6191.TW,精成科,0.15,3988000
2026-05-21,3376.TW,新日興,0.14,1741000
2026-05-21,3036.TW,文曄,0.13,1200000
2026-05-21,2481.TW,強茂,0.1,2056000
2026-05-21,2357.TW,華碩,0.07,273000
2026-05-21,3217.TW,優群,0.07,874000
2026-05-21,6271.TW,同欣電,0.05,686000
2026-05-21,2002.TW,中鋼,0.04,5163000
2026-05-21,1319.TW,東陽,0.02,511000
2026-05-21,1815.TW,富喬,0.0,107000
2026-05-21,2317.TW,鴻海,0.0,1000
2026-05-21,2439.TW,美律,0.0,18000
2026-05-21,5347.TW,世界,0.0,1000
2026-05-21,3661.TW,世芯-KY,0.0,1000
