date,symbol,name,previous_shares,current_shares,change_shares,previous_weight_percent,current_weight_percent,status
2026-06-15,1303.TW,南亞,7000000,7550000,550000,0.41,0.48,increased
2026-06-15,1560.TW,中砂,600000,800000,200000,0.22,0.31,increased
2026-06-15,2049.TW,上銀,1010000,1010000,0,0.18,0.18,unchanged
2026-06-15,2303.TW,聯電,72400000,72400000,0,5.35,5.6,unchanged
2026-06-15,2308.TW,台達電,2430000,2430000,0,2.98,2.94,unchanged
2026-06-15,2317.TW,鴻海,3200000,3200000,0,0.46,0.47,unchanged
2026-06-15,2327.TW,國巨*,9900000,9900000,0,4.69,5.09,unchanged
2026-06-15,2330.TW,台積電,14200000,14200000,0,18.16,18.44,unchanged
2026-06-15,2337.TW,旺宏,16350000,16350000,0,1.33,1.42,unchanged
2026-06-15,2344.TW,華邦電,38000000,38000000,0,3.62,3.93,unchanged
2026-06-15,2345.TW,智邦,2100000,2100000,0,2.71,2.79,unchanged
2026-06-15,2360.TW,致茂,840000,840000,0,1.07,1.04,unchanged
2026-06-15,2368.TW,金像電,4700000,4700000,0,3.43,3.39,unchanged
2026-06-15,2383.TW,台光電,1350000,1350000,0,3.61,3.71,unchanged
2026-06-15,2454.TW,聯發科,1200000,1280000,80000,2.78,3.13,increased
2026-06-15,2455.TW,全新,450000,450000,0,0.09,0.09,unchanged
2026-06-15,2481.TW,強茂,1000,1000,0,0.0,0.0,unchanged
2026-06-15,3017.TW,奇鋐,3250000,3250000,0,4.33,4.28,unchanged
2026-06-15,3037.TW,欣興,8960000,8960000,0,4.47,4.7,unchanged
2026-06-15,3081.TW,聯亞,570000,570000,0,0.69,0.73,unchanged
2026-06-15,3105.TW,穩懋,957000,957000,0,0.27,0.27,unchanged
2026-06-15,3189.TW,景碩,1380000,1380000,0,0.47,0.5,unchanged
2026-06-15,3211.TW,順達,700000,1100000,400000,0.16,0.26,increased
2026-06-15,3443.TW,創意,430000,430000,0,1.04,1.13,unchanged
2026-06-15,3529.TW,力旺,390000,390000,0,0.67,0.68,unchanged
2026-06-15,3533.TW,嘉澤,1240000,1240000,0,1.54,1.56,unchanged
2026-06-15,3583.TW,辛耘,900000,900000,0,0.4,0.4,unchanged
2026-06-15,3653.TW,健策,830000,830000,0,1.7,1.74,unchanged
2026-06-15,3665.TW,貿聯-KY,1090000,1090000,0,1.39,1.35,unchanged
2026-06-15,3711.TW,日月光投控,12101000,8900000,-3201000,3.95,2.87,decreased
2026-06-15,4958.TW,臻鼎-KY,5900000,6020000,120000,1.8,1.94,increased
2026-06-15,4966.TW,譜瑞-KY,900000,900000,0,0.34,0.33,unchanged
2026-06-15,4979.TW,華星光,916000,748000,-168000,0.25,0.22,decreased
2026-06-15,5274.TW,信驊,45000,45000,0,0.46,0.44,unchanged
2026-06-15,5347.TW,世界,9911000,9911000,0,0.93,0.95,unchanged
2026-06-15,6147.TW,頎邦,5600000,5600000,0,0.69,0.72,unchanged
2026-06-15,6196.TW,帆宣,870000,1000000,130000,0.26,0.31,increased
2026-06-15,6223.TW,旺矽,900000,900000,0,3.23,3.17,unchanged
2026-06-15,6274.TW,台燿,1520000,1520000,0,1.2,1.3,unchanged
2026-06-15,6442.TW,光聖,830000,830000,0,0.85,0.87,unchanged
2026-06-15,6488.TW,環球晶,1497000,1700000,203000,0.72,0.88,increased
2026-06-15,6515.TW,穎崴,200000,200000,0,1.06,1.09,unchanged
2026-06-15,6669.TW,緯穎,790000,790000,0,2.12,2.12,unchanged
2026-06-15,6805.TW,富世達,570000,570000,0,0.58,0.54,unchanged
2026-06-15,7769.TW,鴻勁,279000,279000,0,1.11,1.1,unchanged
2026-06-15,8046.TW,南電,1080000,1080000,0,0.49,0.51,unchanged
2026-06-15,8210.TW,勤誠,680000,680000,0,0.56,0.53,unchanged
2026-06-15,8299.TW,群聯,350000,350000,0,0.45,0.44,unchanged
2026-06-15,8358.TW,金居,1710000,1710000,0,0.54,0.58,unchanged
2026-06-15,8996.TW,高力,1334000,1334000,0,0.85,0.92,unchanged
