date,symbol,name,weight_percent,shares
2026-08-06,2330.TW,台積電,7.71,1406000
2026-08-06,2059.TW,川湖,6.86,293000
2026-08-06,3017.TW,奇鋐,6.83,1002000
2026-08-06,3665.TW,貿聯-KY,6.38,1161000
2026-08-06,2345.TW,智邦,6.04,1080000
2026-08-06,2383.TW,台光電,5.73,466000
2026-08-06,3037.TW,欣興,5.63,2497000
2026-08-06,3008.TW,大立光,5.58,520000
2026-08-06,6223.TW,旺矽,4.76,326000
2026-08-06,8996.TW,高力,4.29,1630000
2026-08-06,2454.TW,聯發科,3.69,406000
2026-08-06,3231.TW,緯創,3.37,7662000
2026-08-06,6584.TW,南俊國際,2.59,2231000
2026-08-06,8021.TW,尖點,2.42,2501000
2026-08-06,2455.TW,全新,2.38,2753000
2026-08-06,1303.TW,南亞,2.25,5445000
2026-08-06,3711.TW,日月光投控,2.25,1629000
2026-08-06,3443.TW,創意,2.19,211000
2026-08-06,6187.TW,萬潤,2.18,801000
2026-08-06,3661.TW,世芯-KY,1.82,215000
2026-08-06,8299.TW,群聯,1.72,366000
2026-08-06,3189.TW,景碩,1.66,840013
2026-08-06,1815.TW,富喬,1.26,6277000
2026-08-06,2308.TW,台達電,1.17,300000
2026-08-06,6669.TW,緯穎,1.12,77000
2026-08-06,4958.TW,臻鼎-KY,1.12,1000000
2026-08-06,7751.TW,竑騰,0.88,270000
2026-08-06,6515.TW,穎崴,0.66,42000
2026-08-06,6139.TW,亞翔,0.48,250000
2026-08-06,6805.TW,富世達,0.44,109000
2026-08-06,7734.TW,印能科技,0.44,56000
2026-08-06,2337.TW,旺宏,0.4,1343000
2026-08-06,5289.TW,宜鼎,0.37,98000
2026-08-06,3260.TW,威剛,0.35,358000
2026-08-06,3583.TW,辛耘,0.25,147000
2026-08-06,5347.TW,世界,0.22,629000
2026-08-06,3264.TW,欣銓,0.04,72000
