date,symbol,name,weight_percent,shares
2026-09-21,3017.TW,奇鋐,8.17,1001000
2026-09-21,2330.TW,台積電,6.62,1116000
2026-09-21,3665.TW,貿聯-KY,6.38,1161000
2026-09-21,2059.TW,川湖,6.27,205000
2026-09-21,3037.TW,欣興,6.05,2482000
2026-09-21,8996.TW,高力,5.87,1630000
2026-09-21,2383.TW,台光電,5.44,465000
2026-09-21,2345.TW,智邦,4.86,1104000
2026-09-21,3008.TW,大立光,4.48,293000
2026-09-21,6223.TW,旺矽,3.52,268000
2026-09-21,1815.TW,富喬,3.3,11420868
2026-09-21,3231.TW,緯創,3.23,7245000
2026-09-21,1303.TW,南亞,3.12,5445000
2026-09-21,3443.TW,創意,2.99,164000
2026-09-21,6584.TW,南俊國際,2.99,2231000
2026-09-21,8021.TW,尖點,2.99,2682000
2026-09-21,8046.TW,南電,2.45,968000
2026-09-21,2455.TW,全新,2.33,1700000
2026-09-21,6669.TW,緯穎,2.21,429675
2026-09-21,2454.TW,聯發科,2.14,179000
2026-09-21,3189.TW,景碩,1.67,844013
2026-09-21,4958.TW,臻鼎-KY,1.12,1000000
2026-09-21,6515.TW,穎崴,0.71,51000
2026-09-21,5274.TW,信驊,0.52,11000
2026-09-21,3026.TW,禾伸堂,0.49,261000
2026-09-21,6213.TW,聯茂,0.48,373000
2026-09-21,8150.TW,南茂,0.48,1957000
2026-09-21,3653.TW,健策,0.46,33000
2026-09-21,2376.TW,技嘉,0.45,508000
2026-09-21,2301.TW,光寶科,0.45,659000
2026-09-21,2357.TW,華碩,0.44,196000
2026-09-21,2360.TW,致茂,0.43,76000
2026-09-21,3081.TW,聯亞,0.43,63000
2026-09-21,6139.TW,亞翔,0.43,250000
2026-09-21,2404.TW,漢唐,0.42,155000
2026-09-21,6187.TW,萬潤,0.4,134000
2026-09-21,3711.TW,日月光投控,0.4,250000
2026-09-21,6274.TW,台燿,0.39,113000
2026-09-21,5289.TW,宜鼎,0.31,99952
2026-09-21,5347.TW,世界,0.26,629000
