date,symbol,name,weight_percent,shares
2026-09-10,3017.TW,奇鋐,8.37,1001000
2026-09-10,2330.TW,台積電,6.61,1116000
2026-09-10,2059.TW,川湖,6.24,205000
2026-09-10,2383.TW,台光電,6.04,465000
2026-09-10,3037.TW,欣興,5.96,2482000
2026-09-10,3665.TW,貿聯-KY,5.41,1161000
2026-09-10,8996.TW,高力,5.12,1630000
2026-09-10,2345.TW,智邦,5.1,1074000
2026-09-10,3008.TW,大立光,4.76,293000
2026-09-10,6223.TW,旺矽,3.64,268000
2026-09-10,1815.TW,富喬,3.48,11420868
2026-09-10,3231.TW,緯創,3.24,7245000
2026-09-10,1303.TW,南亞,3.21,5445000
2026-09-10,6584.TW,南俊國際,2.99,2231000
2026-09-10,8021.TW,尖點,2.84,2682000
2026-09-10,2455.TW,全新,2.76,2150000
2026-09-10,8046.TW,南電,2.5,968000
2026-09-10,3443.TW,創意,2.47,164000
2026-09-10,6669.TW,緯穎,2.43,429675
2026-09-10,3661.TW,世芯-KY,2.11,215000
2026-09-10,3189.TW,景碩,1.69,844013
2026-09-10,2454.TW,聯發科,1.65,145000
2026-09-10,4958.TW,臻鼎-KY,1.19,1000000
2026-09-10,6515.TW,穎崴,0.89,51000
2026-09-10,3026.TW,禾伸堂,0.51,261000
2026-09-10,5274.TW,信驊,0.5,11000
2026-09-10,2357.TW,華碩,0.47,196000
2026-09-10,6213.TW,聯茂,0.47,373000
2026-09-10,2301.TW,光寶科,0.46,659000
2026-09-10,3653.TW,健策,0.46,33000
2026-09-10,6139.TW,亞翔,0.45,250000
2026-09-10,3081.TW,聯亞,0.43,63000
2026-09-10,2376.TW,技嘉,0.43,508000
2026-09-10,8150.TW,南茂,0.43,1957000
2026-09-10,6187.TW,萬潤,0.41,134000
2026-09-10,2404.TW,漢唐,0.4,155000
2026-09-10,2360.TW,致茂,0.4,76000
2026-09-10,3711.TW,日月光投控,0.39,250000
2026-09-10,6274.TW,台燿,0.38,113000
2026-09-10,5289.TW,宜鼎,0.31,99952
2026-09-10,5347.TW,世界,0.25,629000
