date,symbol,name,weight_percent,shares
2026-08-12,2059.TW,川湖,8.27,293000
2026-08-12,2330.TW,台積電,7.96,1406000
2026-08-12,3017.TW,奇鋐,6.83,1002000
2026-08-12,2383.TW,台光電,6.26,466000
2026-08-12,3665.TW,貿聯-KY,5.86,1161000
2026-08-12,3037.TW,欣興,5.85,2497000
2026-08-12,2345.TW,智邦,5.61,1080000
2026-08-12,3008.TW,大立光,4.51,420000
2026-08-12,8996.TW,高力,4.47,1630000
2026-08-12,6223.TW,旺矽,4.07,263000
2026-08-12,2454.TW,聯發科,3.82,406000
2026-08-12,3231.TW,緯創,3.47,7662000
2026-08-12,6584.TW,南俊國際,2.84,2231000
2026-08-12,8021.TW,尖點,2.68,2682000
2026-08-12,2308.TW,台達電,2.65,632000
2026-08-12,2455.TW,全新,2.48,2753000
2026-08-12,1303.TW,南亞,2.41,5445000
2026-08-12,3711.TW,日月光投控,2.37,1629000
2026-08-12,1815.TW,富喬,2.29,10877000
2026-08-12,3661.TW,世芯-KY,2.04,215000
2026-08-12,3443.TW,創意,1.92,160000
2026-08-12,3189.TW,景碩,1.69,840013
2026-08-12,4958.TW,臻鼎-KY,1.1,1000000
2026-08-12,6187.TW,萬潤,1.09,401000
2026-08-12,6669.TW,緯穎,1.09,77000
2026-08-12,8046.TW,南電,0.89,300000
2026-08-12,6515.TW,穎崴,0.71,42000
2026-08-12,7751.TW,竑騰,0.56,182000
2026-08-12,6139.TW,亞翔,0.48,250000
2026-08-12,6805.TW,富世達,0.47,109000
2026-08-12,7734.TW,印能科技,0.44,56000
2026-08-12,2337.TW,旺宏,0.43,1343000
2026-08-12,5289.TW,宜鼎,0.35,98000
2026-08-12,3260.TW,威剛,0.34,358000
2026-08-12,3583.TW,辛耘,0.25,147000
2026-08-12,5347.TW,世界,0.24,629000
2026-08-12,3264.TW,欣銓,0.04,72000
