date,symbol,name,previous_shares,current_shares,change_shares,previous_weight_percent,current_weight_percent,status
2026-07-01,2059.TW,川湖,293000,293000,0,4.93,5.07,unchanged
2026-07-01,2303.TW,聯電,7000000,7000000,0,2.63,2.67,unchanged
2026-07-01,2327.TW,國巨*,1566000,1566000,0,4.08,4.03,unchanged
2026-07-01,2330.TW,台積電,1406000,1406000,0,7.74,7.96,unchanged
2026-07-01,2337.TW,旺宏,1343000,1343000,0,0.48,0.44,unchanged
2026-07-01,2345.TW,智邦,977000,977000,0,5.57,5.87,unchanged
2026-07-01,2368.TW,金像電,325000,325000,0,0.89,0.9,unchanged
2026-07-01,2383.TW,台光電,563000,563000,0,6.93,7.04,unchanged
2026-07-01,2454.TW,聯發科,406000,406000,0,3.94,3.98,unchanged
2026-07-01,2455.TW,全新,2753000,2753000,0,2.18,2.23,unchanged
2026-07-01,3008.TW,大立光,420000,420000,0,4.12,4.11,unchanged
2026-07-01,3017.TW,奇鋐,1009000,1009000,0,5.82,5.97,unchanged
2026-07-01,3037.TW,欣興,2097000,2097000,0,5.13,4.93,unchanged
2026-07-01,3189.TW,景碩,440013,440013,0,0.9,0.88,unchanged
2026-07-01,3260.TW,威剛,358000,358000,0,0.33,0.32,unchanged
2026-07-01,3264.TW,欣銓,72000,72000,0,0.04,0.04,unchanged
2026-07-01,3363.TW,上詮,300000,300000,0,0.4,0.36,unchanged
2026-07-01,3443.TW,創意,311000,311000,0,3.44,3.55,unchanged
2026-07-01,3491.TW,昇達科,1000,1000,0,0.0,0.0,unchanged
2026-07-01,3583.TW,辛耘,566000,566000,0,1.17,1.16,unchanged
2026-07-01,3661.TW,世芯-KY,215000,215000,0,2.05,2.16,unchanged
2026-07-01,3665.TW,貿聯-KY,955000,955000,0,4.18,4.34,unchanged
2026-07-01,3711.TW,日月光投控,1629000,1629000,0,2.53,2.59,unchanged
2026-07-01,5289.TW,宜鼎,98000,98000,0,0.36,0.35,unchanged
2026-07-01,6139.TW,亞翔,250000,250000,0,0.53,0.52,unchanged
2026-07-01,6182.TW,合晶,4500000,4500000,0,1.26,1.37,unchanged
2026-07-01,6187.TW,萬潤,1220000,1220000,0,2.78,2.94,unchanged
2026-07-01,6223.TW,旺矽,326000,326000,0,4.54,4.93,unchanged
2026-07-01,6515.TW,穎崴,145000,120000,-25000,2.68,2.41,decreased
2026-07-01,6584.TW,南俊國際,2231000,2231000,0,3.74,3.52,unchanged
2026-07-01,6805.TW,富世達,109000,109000,0,0.42,0.42,unchanged
2026-07-01,7734.TW,印能科技,56000,56000,0,0.39,0.39,unchanged
2026-07-01,7751.TW,竑騰,372000,372000,0,1.16,1.22,unchanged
2026-07-01,8021.TW,尖點,1501000,1501000,0,1.97,1.9,unchanged
2026-07-01,8299.TW,群聯,445000,445000,0,2.42,2.28,unchanged
2026-07-01,8996.TW,高力,1630000,1630000,0,5.77,5.73,unchanged
