date,symbol,name,weight_percent,shares
2026-09-08,2330.TW,台積電,11.8,3800000
2026-09-08,2383.TW,台光電,9.27,1380000
2026-09-08,2408.TW,南亞科,9.21,13800000
2026-09-08,2059.TW,川湖,7.87,500000
2026-09-08,3037.TW,欣興,6.0,5000000
2026-09-08,2327.TW,國巨*,5.35,7500000
2026-09-08,2454.TW,聯發科,5.33,900000
2026-09-08,3017.TW,奇鋐,5.16,1250000
2026-09-08,6669.TW,緯穎,5.09,1730020
2026-09-08,8046.TW,南電,4.19,3250000
2026-09-08,3189.TW,景碩,4.12,4100000
2026-09-08,2345.TW,智邦,3.56,1450000
2026-09-08,5274.TW,信驊,3.4,140500
2026-09-08,3081.TW,聯亞,3.24,900000
2026-09-08,6274.TW,台燿,3.04,1800000
2026-09-08,6223.TW,旺矽,2.77,380000
2026-09-08,3026.TW,禾伸堂,2.54,2700000
2026-09-08,7769.TW,鴻勁,2.45,280000
2026-09-08,3653.TW,健策,2.37,340000
2026-09-08,8299.TW,群聯,2.05,780000
2026-09-08,3008.TW,大立光,0.01,1000
2026-09-08,3711.TW,日月光投控,0.01,9000
2026-09-08,2382.TW,廣達,0.0,9000
2026-09-08,2360.TW,致茂,0.0,1000
2026-09-08,2317.TW,鴻海,0.0,9000
2026-09-08,2603.TW,長榮,0.0,9000
2026-09-08,2881.TW,富邦金,0.0,9000
2026-09-08,2303.TW,聯電,0.0,9000
2026-09-08,2308.TW,台達電,0.0,1000
2026-09-08,5347.TW,世界,0.0,9000
2026-09-08,3665.TW,貿聯-KY,0.0,1000
2026-09-08,3231.TW,緯創,0.0,9000
2026-09-08,2357.TW,華碩,0.0,1000
2026-09-08,2379.TW,瑞昱,0.0,1000
2026-09-08,2882.TW,國泰金,0.0,9000
2026-09-08,2880.TW,華南金,0.0,9090
2026-09-08,2884.TW,玉山金,0.0,9000
2026-09-08,2885.TW,元大金,0.0,9360
2026-09-08,2886.TW,兆豐金,0.0,9000
2026-09-08,3044.TW,健鼎,0.0,1000
2026-09-08,2891.TW,中信金,0.0,9000
2026-09-08,2912.TW,統一超,0.0,1000
2026-09-08,3036.TW,文曄,0.0,1000
2026-09-08,2887.TW,台新新光金,0.0,9000
2026-09-08,2890.TW,永豐金,0.0,9000
2026-09-08,2883.TW,凱基金,0.0,9000
2026-09-08,2412.TW,中華電,0.0,1000
2026-09-08,2449.TW,京元電子,0.0,1450
2026-09-08,1216.TW,統一,0.0,1000
2026-09-08,2313.TW,華通,0.0,1253
